ymd,year,quater,half_period,ym,year_weeki,month,day,day_of_the_week
2007-01-01,2007,20064,20062,200701,200701,1,1,月
2007-01-02,2007,20064,20062,200701,200701,1,2,火
2007-01-03,2007,20064,20062,200701,200701,1,3,水
2007-01-04,2007,20064,20062,200701,200701,1,4,木
2007-01-05,2007,20064,20062,200701,200701,1,5,金
2007-01-06,2007,20064,20062,200701,200701,1,6,土
2007-01-07,2007,20064,20062,200701,200701,1,7,日
2007-01-08,2007,20064,20062,200701,200702,1,8,月
2007-01-09,2007,20064,20062,200701,200702,1,9,火
2007-01-10,2007,20064,20062,200701,200702,1,10,水
2007-01-11,2007,20064,20062,200701,200702,1,11,木
2007-01-12,2007,20064,20062,200701,200702,1,12,金
2007-01-13,2007,20064,20062,200701,200702,1,13,土
2007-01-14,2007,20064,20062,200701,200702,1,14,日
2007-01-15,2007,20064,20062,200701,200703,1,15,月
2007-01-16,2007,20064,20062,200701,200703,1,16,火
2007-01-17,2007,20064,20062,200701,200703,1,17,水
2007-01-18,2007,20064,20062,200701,200703,1,18,木
2007-01-19,2007,20064,20062,200701,200703,1,19,金
2007-01-20,2007,20064,20062,200701,200703,1,20,土
2007-01-21,2007,20064,20062,200701,200703,1,21,日
2007-01-22,2007,20064,20062,200701,200704,1,22,月
2007-01-23,2007,20064,20062,200701,200704,1,23,火
2007-01-24,2007,20064,20062,200701,200704,1,24,水
2007-01-25,2007,20064,20062,200701,200704,1,25,木
2007-01-26,2007,20064,20062,200701,200704,1,26,金
2007-01-27,2007,20064,20062,200701,200704,1,27,土
2007-01-28,2007,20064,20062,200701,200704,1,28,日
2007-01-29,2007,20064,20062,200701,200705,1,29,月
2007-01-30,2007,20064,20062,200701,200705,1,30,火
2007-01-31,2007,20064,20062,200701,200705,1,31,水
2007-02-01,2007,20064,20062,200702,200705,2,1,木
2007-02-02,2007,20064,20062,200702,200705,2,2,金
2007-02-03,2007,20064,20062,200702,200705,2,3,土
2007-02-04,2007,20064,20062,200702,200705,2,4,日
2007-02-05,2007,20064,20062,200702,200706,2,5,月
2007-02-06,2007,20064,20062,200702,200706,2,6,火
2007-02-07,2007,20064,20062,200702,200706,2,7,水
2007-02-08,2007,20064,20062,200702,200706,2,8,木
2007-02-09,2007,20064,20062,200702,200706,2,9,金
2007-02-10,2007,20064,20062,200702,200706,2,10,土
2007-02-11,2007,20064,20062,200702,200706,2,11,日
2007-02-12,2007,20064,20062,200702,200707,2,12,月
2007-02-13,2007,20064,20062,200702,200707,2,13,火
2007-02-14,2007,20064,20062,200702,200707,2,14,水
2007-02-15,2007,20064,20062,200702,200707,2,15,木
2007-02-16,2007,20064,20062,200702,200707,2,16,金
2007-02-17,2007,20064,20062,200702,200707,2,17,土
2007-02-18,2007,20064,20062,200702,200707,2,18,日
2007-02-19,2007,20064,20062,200702,200708,2,19,月
2007-02-20,2007,20064,20062,200702,200708,2,20,火
2007-02-21,2007,20064,20062,200702,200708,2,21,水
2007-02-22,2007,20064,20062,200702,200708,2,22,木
2007-02-23,2007,20064,20062,200702,200708,2,23,金
2007-02-24,2007,20064,20062,200702,200708,2,24,土
