product_cd,product_name,category_major_cd,category_major_name,category_medium_cd,category_medium_name,category_small_cd,category_small_name,jan_cd,unit_price,unit_cost
P040101001,焼うどん,04,惣菜,0401,御飯類,040101,弁当類,4958582008999,198,149
P040101002,アジツケソバ,04,惣菜,0401,御飯類,040101,弁当類,4515290000310,218,164
P040101003,ゴモクオニギリ３コイリ,04,惣菜,0401,御飯類,040101,弁当類,4958582010725,230,173
P040101004,豆ごはん,04,惣菜,0401,御飯類,040101,弁当類,4958582009507,248,186
P040101005,ワカメオニギリ３コイリ,04,惣菜,0401,御飯類,040101,弁当類,4958582011715,268,201
P040101006,ゴモクオニギリ,04,惣菜,0401,御飯類,040101,弁当類,4958582000726,298,224
P040101007,えんど屋  赤飯,04,惣菜,0401,御飯類,040101,弁当類,4514369260686,338,254
P040101008,カラアゲベントウ,04,惣菜,0401,御飯類,040101,弁当類,4958582004205,420,315
P040101009,カツ丼,04,惣菜,0401,御飯類,040101,弁当類,4515118001062,498,374
P040101010,日替り弁当,04,惣菜,0401,御飯類,040101,弁当類,4515118001079,580,435
P040102001,シンコ巻（２本入）,04,惣菜,0401,御飯類,040102,寿司類,4958582010831,268,201
P040102002,カッパ巻,04,惣菜,0401,御飯類,040102,寿司類,4958582010848,268,201
P040102003,バッテラ寿司,04,惣菜,0401,御飯類,040102,寿司類,4958582000795,278,209
P040102004,シーチキンマキ,04,惣菜,0401,御飯類,040102,寿司類,4958582001556,318,239
P040102005,シーチキンホソマキ,04,惣菜,0401,御飯類,040102,寿司類,4958582002348,318,239
P040102006,寿司梅,04,惣菜,0401,御飯類,040102,寿司類,4958582006001,318,239
P040102007,イナリ８コイリ,04,惣菜,0401,御飯類,040102,寿司類,4958582005295,338,254
P040102008,バラズシ,04,惣菜,0401,御飯類,040102,寿司類,4958582000740,358,269
P040102009,スケロクズシ,04,惣菜,0401,御飯類,040102,寿司類,4958582000771,358,269
P040102010,モリアワセズシ,04,惣菜,0401,御飯類,040102,寿司類,4958582000856,358,269
P040102011,サラダマキ,04,惣菜,0401,御飯類,040102,寿司類,4958582002362,358,269
P040102012,イナカマキ,04,惣菜,0401,御飯類,040102,寿司類,4958582002577,358,269
P040102013,ジャンボイナリ,04,惣菜,0401,御飯類,040102,寿司類,4958582001167,398,299
P040102014,ジャンボノリマキ,04,惣菜,0401,御飯類,040102,寿司類,4958582001976,398,299
P040102015,オコノミズシ,04,惣菜,0401,御飯類,040102,寿司類,4958582004250,398,299
P040102016,ニギリ寿司（竹）,04,惣菜,0401,御飯類,040102,寿司類,4958582009354,398,299
P040102017,大惣ネギトロ巻,04,惣菜,0401,御飯類,040102,寿司類,4958582003567,438,329
P040102018,大惣  特盛寿司,04,惣菜,0401,御飯類,040102,寿司類,4958582000023,498,374
P040102019,ニギリマツ,04,惣菜,0401,御飯類,040102,寿司類,4958582004472,598,449
P040102020,寿司  四季,04,惣菜,0401,御飯類,040102,寿司類,4958582009101,980,735
P040102021,寿司三昧,04,惣菜,0401,御飯類,040102,寿司類,4958582009095,1780,1335
P040102022,寿司（にぎり入り）,04,惣菜,0401,御飯類,040102,寿司類,4958582007633,3000,2250
P040102023,寿司（にぎり入り）,04,惣菜,0401,御飯類,040102,寿司類,4958582007657,5000,3750
P040102024,寿司（にぎり）,04,惣菜,0401,御飯類,040102,寿司類,4958582007718,5000,3750
P040201001,生アミ佃煮,04,惣菜,0402,佃煮類,040201,魚介佃煮類,4976077440017,148,111
P040201002,小女子,04,惣菜,0402,佃煮類,040201,魚介佃煮類,4903688117069,178,134
P040201003,エビフウミ,04,惣菜,0402,佃煮類,040201,魚介佃煮類,4907632170056,198,149
P040201004,ノヅ  シジミ佃煮,04,惣菜,0402,佃煮類,040201,魚介佃煮類,4976077778011,248,186
P040201005,小鯛甘露煮,04,惣菜,0402,佃煮類,040201,魚介佃煮類,4976077200017,258,194
P040201006,わかさぎ甘ろ煮,04,惣菜,0402,佃煮類,040201,魚介佃煮類,4976077100010,298,224
P040202001,ごまワカメ,04,惣菜,0402,佃煮類,040202,海草佃煮類,4903688111043,178,134
P040202002,角切昆布,04,惣菜,0402,佃煮類,040202,海草佃煮類,4903688111210,178,134
P040202003,あみのり,04,惣菜,0402,佃煮類,040202,海草佃煮類,4903688111357,178,134
P040202004,お好み煮,04,惣菜,0402,佃煮類,040202,海草佃煮類,4903688111401,178,134
P040202005,しそ昆布,04,惣菜,0402,佃煮類,040202,海草佃煮類,4903688117014,178,134
P040202006,子持昆布,04,惣菜,0402,佃煮類,040202,海草佃煮類,4903688117021,178,134
P040202007,ごま昆布,04,惣菜,0402,佃煮類,040202,海草佃煮類,4903688117052,178,134
P040202008,花見昆布,04,惣菜,0402,佃煮類,040202,海草佃煮類,4903688117076,178,134
P040202009,カラシ  コンブ,04,惣菜,0402,佃煮類,040202,海草佃煮類,4907632300057,198,149
P040202010,茶漬  コンブ,04,惣菜,0402,佃煮類,040202,海草佃煮類,4907632400054,198,149
P040202011,ハナミ  コンブ,04,惣菜,0402,佃煮類,040202,海草佃煮類,4907632700055,198,149
P040202012,海鮮ひじき,04,惣菜,0402,佃煮類,040202,海草佃煮類,4904566120867,298,224
P040203001,荻原食品ごまたかな３００Ｇ,04,惣菜,0402,佃煮類,040203,野菜佃煮類,4957324100106,188,141
P040203002,ダイマツ  菜の花きの子,04,惣菜,0402,佃煮類,040203,野菜佃煮類,4957868100433,428,321
P040204001,フジッコキョウフウウスアジヤサイマメ,04,惣菜,0402,佃煮類,040204,豆佃煮類,4902553011488,158,119
P040204002,フジッコオマメサンコンブマメ,04,惣菜,0402,佃煮類,040204,豆佃煮類,4902553011303,188,141
P040204003,フジッコオマメサンキントキマメ,04,惣菜,0402,佃煮類,040204,豆佃煮類,4902553011310,188,141
P040204004,フジッコオマメサンゴモクマメ１８５,04,惣菜,0402,佃煮類,040204,豆佃煮類,4902553011341,188,141
P040204005,オグラヤニマメヤサンコンブマメ,04,惣菜,0402,佃煮類,040204,豆佃煮類,4901159003408,198,149
P040204006,フジッコニュービンズランドチャフクマ,04,惣菜,0402,佃煮類,040204,豆佃煮類,4902553012867,198,149
P040204007,フジッコシロハナマメ,04,惣菜,0402,佃煮類,040204,豆佃煮類,4902553012874,198,149
P040502004,トリカラアゲ,04,惣菜,0405,フライ物,040502,唐揚げ類,4958582001501,298,224
P040204008,フジッコニュービーンズウズラマメ,04,惣菜,0402,佃煮類,040204,豆佃煮類,4902553012881,198,149
P040204009,黒豆,04,惣菜,0402,佃煮類,040204,豆佃煮類,4901213329185,398,299
P040301001,ホタテマリネ,04,惣菜,0403,サラダ類,040301,サラダ類,4958582008814,248,186
P040301002,海鮮風サラダ,04,惣菜,0403,サラダ類,040301,サラダ類,4958582009545,248,186
P040301003,Ｆ  サラダ,04,惣菜,0403,サラダ類,040301,サラダ類,4958582009538,278,209
P040301004,大惣  ツナポテトサラダ,04,惣菜,0403,サラダ類,040301,サラダ類,4958582009583,298,224
P040301005,大惣  ごぼうサラダ,04,惣菜,0403,サラダ類,040301,サラダ類,4958582009590,298,224
P040401001,カモ井  塩えんどう豆,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4901561116796,118,89
P040401002,イワシ佃煮,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4515118001031,138,104
P040401003,旭松  味つきこうやとうふ,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4901139055205,198,149
P040401004,じゃがいもそぼろ煮,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4958582004557,228,171
P040401005,大惣  ふき煮,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4958582009491,228,171
P040401006,大惣  肉じゃが,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4958582009187,248,186
P040401007,オデン,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4515290000273,258,194
P040401008,サバノ煮付,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4515118001086,278,209
P040401009,かぼちゃのそぼろ煮,04,惣菜,0404,和風惣菜,040401,炒め・煮物類,4958582008838,278,209
