item_id,item_name,itemnm
00004169,キリン一番搾り生セットＫ－ＮＩＳ５,キリン一番搾り生セットＫ－ＮＩＳ５
00004176,麒麟 のどごし＜生＞_５００ｍｌ_缶,麒麟 のどごし＜生＞_５００ｍｌ_缶
00009010,アサヒ スーパードライ_３５０ｍｌ_缶,アサヒ スーパードライ_３５０ｍｌ_缶
00009027,アサヒ スーパードライ_５００ｍｌ,アサヒ スーパードライ_５００ｍｌ
00009058,麒麟 一番搾り_３５０ｍｌ_缶,麒麟 一番搾り_３５０ｍｌ_缶
00009065,麒麟 一番搾り_５００ｍｌ×２４_缶,麒麟 一番搾り_５００ｍｌ×２４_缶
00009171,サントリー 金麦_３５０ｍｌ_缶,サントリー 金麦_３５０ｍｌ_缶
00009188,サントリー 金麦_５００ｍｌ_缶,サントリー 金麦_５００ｍｌ_缶
00009379,一宮　発泡清酒「雪香」５本セット,一宮　発泡清酒「雪香」５本セット
00009386,澤乃井　特選酒セット　ＫＳ－２６０,澤乃井　特選酒セット　ＫＳ－２６０
00091008,アサヒ スーパードライ_３５０ｍｌ_缶,アサヒ スーパードライ_３５０ｍｌ_缶
00091015,アサヒ スーパードライ_５００ｍｌ_缶,アサヒ スーパードライ_５００ｍｌ_缶
00091022,プライムドラフト_グリーン_３５０ｍｌ_缶,プライムドラフト_グリーン_３５０ｍｌ_缶
00091039,プライムドラフト_３５０ｍｌ×２４_缶,プライムドラフト_３５０ｍｌ×２４_缶
00091060,麒麟 のどごし＜生＞_３５０ｍｌ_缶,麒麟 のどごし＜生＞_３５０ｍｌ_缶
00091077,麒麟 のどごし＜生＞_５００ｍｌ_缶,麒麟 のどごし＜生＞_５００ｍｌ_缶
00091091,麒麟 ラガービール_３５０ｍｌ_缶,麒麟 ラガービール_３５０ｍｌ_缶
00091107,麒麟 一番搾り_５００ｍｌ,麒麟 一番搾り_５００ｍｌ
00091114,メダル受賞ボルドーワインセット_ＩＭＢ,メダル受賞ボルドーワインセット_ＩＭＢ
00091145,麒麟 淡麗グリーンラベル_３５０ｍｌ_缶,麒麟 淡麗グリーンラベル_３５０ｍｌ_缶
00091190,サッポロ エビス_３５０ｍｌ_缶,サッポロ エビス_３５０ｍｌ_缶
00091206,キリン一番搾り生ビールセットＫ－ＩＳ４,キリン一番搾り生ビールセットＫ－ＩＳ４
00091220,アサヒ　ジャパンスペシャル　ＪＳ４Ｎ,アサヒ　ジャパンスペシャル　ＪＳ４Ｎ
00091251,スーパードライギフトＳＤ－５０,スーパードライギフトＳＤ－５０
00091268,サントリー 金麦_３５０ｍｌ_缶,サントリー 金麦_３５０ｍｌ_缶
00091275,サントリー 金麦_５００ｍｌ_缶,サントリー 金麦_５００ｍｌ_缶
00091299,澤乃井　蔵元直送生酒３本セット,澤乃井　蔵元直送生酒３本セット
00091305,多摩自慢　あらばしり生酒２本セット,多摩自慢　あらばしり生酒２本セット
00091381,サッポロ 麦とホップ_３５０ｍｌ_缶,サッポロ 麦とホップ_３５０ｍｌ_缶
00091398,サッポロ 麦とホップ_５００ｍｌ_缶,サッポロ 麦とホップ_５００ｍｌ_缶
00091404,ザプレミアムモルツ夏の限定５種ＹＢ３０Ｎ,ザプレミアムモルツ夏の限定５種ＹＢ３０Ｎ
00091411,イオン トップバリュバーリアル_５００ｍｌ_缶,イオン トップバリュバーリアル_５００ｍｌ_缶
00091428,イオン トップバリュバーリアル糖質５０％オフ_３５０ｍｌ_缶,イオン トップバリュバーリアル糖質５０％オフ_３５０ｍｌ_缶
00091435,イオン トップバリュバーリアル糖質５０％オフ_５００ｍｌ_缶,イオン トップバリュバーリアル糖質５０％オフ_５００ｍｌ_缶
012086313615,ラフォーレ・ブルゴーニュ_シャルドネ_７５０ｍｌ,ラフォーレ・ブルゴーニュ_シャルドネ_７５０ｍｌ
039295009443,,
0413010120000,ジョルジュ・デュブッフ・ボジョレー・ヴィラージュ・ヌーヴォー_ガメイ_２０１９_７５０ｍｌ,
0413010550005,ジョルジュ・デュブッフ・ボジョレー・ヌーヴォー_ガメイ_２０１９_７５０ｍｌ,
0413010630004,トップバリュ・ボジョレー・ヌーヴォー_ガメイ_２０１９_７５０ｍｌ,
0413599080009,ジョルジュ・デュブッフ・ボジョレー・ヌーヴォー_ガメイ_２０１９_３７５ｍｌ,
0413617400000,群馬泉　山廃本醸造　　　　　　　１．８Ｌ,群馬泉　山廃本醸造　　　　　　　１．８Ｌ
0715126000017,モンテス･クラシック_カベルネ･ソーヴィニヨン/メルロ_７５０ｍｌ,モンテス　クラシックＣＶ
0715126000116,モンテス・アルファ_カベルネ・ソーヴィニヨン_７５０ｍｌ,モンテスアルファ　カベルネ７５０ｍｌ
0715126000123,モンテスアルファ　シャルドネ　白　７５０ｍｌ,モンテスアルファ　シャルドネ　白　７５０ｍｌ
