item_cd,item_name,itemnm,count,amount,quantity
45069086,上撰月桂冠エコカップ,月桂冠 ＮＢ_上撰月桂冠普通酒_２１０ｍｌ,19,3665,22
4533620100271,月山　純米酒　７２０ＭＬ,吉田酒造 地酒_月山出雲特別純米酒_７２０ｍｌ,1,1180,1
4901004005687,アサヒ　本生アクアブルー,アサヒ 本生アクアブルー_３５０ｍｌ×６_缶,3,3188,4
4901004006714,アサヒ　スーパードライ,アサヒ スーパードライ_３５０ｍｌ_缶,447,114297,584
4901004006721,アサヒ　スーパードライ,アサヒ スーパードライ_３５０ｍｌ×６_缶,238,288807,264
4901004006813,アサヒ　スーパードライ,アサヒ スーパードライ_５００ｍｌ_缶,279,89051,352
4901004006820,アサヒ　スーパードライ,アサヒ スーパードライ_５００ｍｌ×６_缶,43,63828,44
4901004008060,アサヒ　本生ドラフト,アサヒ 本生ドラフト_３５０ｍｌ×６_缶,2,1595,2
4901004022738,スーパードライ　　　　　　　景品付きケース,アサヒ スーパードライ_３５０ｍｌ×２４_缶,2,8694,2
4901004030948,スタイルフリーパーフェクト,アサヒ スタイルフリーパーフェクト_５００ｍｌ_缶,1,748,4
4901004030962,スタイルフリーパーフェクト,アサヒ スタイルフリーパーフェクト_３５０ｍｌ_缶,2,550,4
4901004031006,スタイルフリーパーフェクト,アサヒ スタイルフリーパーフェクト_３５０ｍｌ×６_缶,5,3687,5
4901004031020,スタイルフリーパーフェクト,アサヒ スタイルフリーパーフェクト_３５０ｍｌ×６×４_缶,1,2927,1
4901004035301,アサヒ　スーパードライ,アサヒ スーパードライ_５００ｍｌ×６×４_缶,2,11494,2
4901004035400,アサヒ　スーパードライ,アサヒ スーパードライ_３５０ｍｌ×６×４_缶,41,209302,48
4901004037428,アサヒ　スーパードライ　　　６缶パック,アサヒ スーパードライ_１３５ｍｌ×６_缶,2,1109,2
4901004039026,スタイルフリー　〈生〉,アサヒ スタイルフリー_５００ｍｌ_缶,19,5415,30
4901004039040,スタイルフリー生,アサヒ スタイルフリー_３５０ｍｌ_缶,76,19849,144
