item_cd,item_name,itemnm,count,amount,quantity
0000040341002,ウンダーベルク,,4,966,7
0000042019008,クライナーファイグリング　ペット,,6,2376,12
0000042019039,クライナーファイグリング　20ml,,145,65322,330
0000042256236,クライナーファイグリング　ココビスケット,,122,51480,260
0000042280712,クライナーファイグリング　エルダーコラーダ,,173,70092,354
0000042353324,クライナーファイグリング　ペパーミント,,159,48114,243
0000042353348,クライナーファイグリング　ワイルドベリー,,223,75501,385
0000042353355,クライナーファイグリング　パイナップルサワー,,189,65637,336
0000045043413,琉球王朝マイルド,,2,1960,2
0000045043482,泡盛琉球王朝特撰古酒,,2,5940,3
0000045069086,月桂冠　上撰　エコカップ,,1,188,1
0000047478619,よなよなエール,,80,25948,106
0000049123814,ブラックニッカ　クリア,,92,26671,98
0000049151831,Ｖ.Ｓ.Ｏ.Ｐ,,22,54932,24
0000049179996,キリンブランデー　Ｖ．Ｓ．Ｏ,,2,2560,2
0000049194340,紹興酒　花彫り,,7,2680,10
0000049216424,久米島の久米仙　ブラウン,,21,23188,33
0000049216455,久米島の久米仙泡盛,,6,1920,6
0000049294415,菊正宗　ピンパック,,39,7408,58
0000049311518,菊之露　ブラウン,,38,41472,64
0000049311525,菊之露30度,,5,1790,5
0000049311532,菊之露30度,,1,578,1
0000049311556,菊之露　Ｖ.Ｉ.Ｐスタンダード　古酒,,1,1180,1
0000049311570,菊之露　Ｖ.Ｉ.Ｐゴールド　古酒,,134,263832,211
0000049312133,賀茂鶴　特製ゴールド　大吟醸　純金箔入　丸瓶,,13,8654,18
0000049312164,賀茂鶴　純米酒,,3,1094,3
0000049312195,賀茂鶴　本醸造辛口,,2,700,2
0000049314571,ブラックニッカ　リッチブレンド,,20,8126,21
0000049337006,プラＱ,,11,2511,12
0000049337037,梅酒　ピオ,,53,7701,78
0000049403770,ワンカップミニ,,9,1056,12
0000049575330,一番搾り　135ml,,31,4489,47
0000049575484,ハートランド　瓶,,51,20336,82
0000049575491,淡麗極上生　135ml,,7,912,12
0000049575651,ハートランド　小瓶,,51,17806,87
0000049575675,ギネス　エクストラスタウト,,46,21800,90
0000049581119,ダルマ　むぎこーん　25度,,4,576,6
0000049651126,黄桜マイルド　パック,,1,128,1
0000049677225,月桂冠　つき　エコカップ,,78,11814,100
0000049677232,月桂冠　糖質ゼロ　エコカップ,,1,444,3
0000049870114,上撰　ワンカップ,,129,30815,182
0000049870176,大関甘酒　カップ,,80,12078,135
0000049893588,スーパードライ　135ml,,80,14785,157
0000050213245,ドラフト・ギネス,,128,60778,270
0000050507733,ボンベイ・サファイヤ・ジン,,27,21580,27
0005276011811,サルバライモンプルチアーノダブルッツオ赤,サルバライ  モンテプルチア－ノ,2,1960,2
0009016014254,アガバレス　シルバー,,4,8900,5
0009016014292,アガバレス　ゴールド,,6,14240,8
0017444000213,ペッパーウッド・グローヴ　カベルネ,,1,1580,1
0024223002092,サンタ　テレサ　クラーロ,,1,1680,1
0040063400027,フォアローゼズ　シングルバレル,ﾌｵｱﾛ-ｾﾞｽﾞ ｼﾝｸﾞﾙﾊﾞﾚﾙ 750,2,9760,2
0041985442270,グレイ・フォックス　シャルドネ　カリフォルニア,,1,1960,2
0050037015546,ディサノーロ　アマレット,Ｓ　ディサローノベビーサイズ　２００ＭＬ　　　　　,22,16076,22
0080432402702,シーバスリーガル,,4,5520,4
0080432402931,シーバスリーガル,,26,94560,47
0080480015701,バカルディ　スペリオール,,7,4126,7
0080480025700,バカルディ　ゴールド,,1,608,1
0080480230005,デュワーズ　ホワイトラベル,,3,8340,3
0080480505400,バカルディ　エイト,ｿﾉﾀﾕﾆ ﾊﾞｶﾙﾃﾞｲｴｲﾄ   B750,1,2180,1
0080686003052,ジム・ビーム　ブラック,ジムビーム_ブラック_７００ｍｌ,8,16540,8
0080686010494,ジム・ビーム　ライ,,5,7500,5
0080686816072,カナディアンクラブ　（新）,カナディアンクラブ_７００ｍｌ,72,78450,78
0080686816201,カナディアンクラブ　（新）,,6,8160,6
0080686817086,カナディアンクラブ　クラシック12年　（新）,カナディアンクラブ　クラシック　１２年　７００ｍｌ,24,45780,26
0080686821366,カナディアンクラブ,,4,11900,5
0080686932772,ピナクル　ウオツカ,,8,9539,9
0081128007867,アーリータイムズ　ブラウン,,73,76611,75
0081128007935,アーリータイムズ　イエロー,アーリータイムズ_イエローラベル_７００ｍｌ,139,173881,172
0081128007997,アーリータイムズ　イエロー,,16,27040,18
0081128008925,アーリータイムズ　イエロー,,7,3486,7
0081128025885,ウッドフォードリザーブ,,1,4580,1
0081128089634,アーリータイムズ　イエロー,,8,31560,12
0082184038727,ジェントルマンジャック,,9,32148,11
0082184045152,ジャック・ダニエル,,31,114460,31
0082184045367,ジャック・ダニエル,,84,207320,89
0082184045954,ジャック・ダニエル,ジャックダニエル_ブラックラベル_７００ｍｌ,212,448076,247
0082184046135,ジャック・ダニエル,,4,5020,4
0082184046173,ジャック・ダニエル,ジャックダニエル ブラック ポケット 200ml,31,23164,32
0082184246610,ジャックダニエル　ブラック　メタルボックス,,3,5340,3
0082242334938,ツイステッド　ジンファンデル,,2,2860,2
0084104100712,モナコ　ルートビアシュナップス,,4,3920,4
0084104115822,モナコカナディアンウイスキー1750ｍｌ,,6,12402,6
0085246139424,メーカーズマーク　レッドトップ,,4,11690,4
0085246500576,メーカーズマーク,,122,264438,133
0085246500743,メーカーズマーク,,1,1380,1
0085592121043,テキーラ　ローズ　ストロベリークリーム　（旧ＪＡＮ）,,24,57420,29
0085592140358,ﾃｷｰﾗﾛｰｽﾞ　700ml,,7,13160,7
0086428260332,タイガー　ビール　瓶,ｿﾉﾀﾕﾆ ﾀｲｶﾞ-        B330,2,596,2
0087000002715,キャプテンモルガン　スパイスト,ｷﾔﾌﾟﾃﾝﾓﾙｶﾞﾝｽﾊﾟｲｽﾄﾗﾑB750,35,60580,41
0087000007154,マイヤーズ・ラム・ダーク,ｷﾘﾝ　ﾏｲﾔｰｽﾞﾗﾑ　200ｍｌ,15,10223,15
0087000007253,クラウン　ローヤル,,13,27250,14
0087000202078,キャプテンモルガン　プライベート　ストック（ＩＭ）,,1,2839,1
0087000652354,マイヤーズ・ラム・ダーク,ｿﾉﾀﾕﾆ ﾏｲﾔ-ｽﾞ ﾗﾑ    B700ML,35,53262,38
0087236001162,レミーマルタン　ＶＳＯＰ,,2,6560,2
0087241881063,メッツァコロナ　プレステージ　ピノグリージョ,,2,1676,2
0088110158606,タンカレー　ナンバー　テン,ｿﾉﾀﾕﾆ ﾀﾝｶﾚ-ﾅﾝﾊﾞ-ﾃﾝ B750,5,18300,5
0088345100517,ニューキャッスル　ブラウンエール,,3,1014,3
0088544019351,サザン　カンフォート,ｻｻﾞﾝ ｶﾝﾌｵ-ﾄ21      B750,3,5646,3
0088857003719,★ミドリサワｰ,,1,950,1
0089540504926,☆カルｰア ソルティッドキャラメル,,14,16520,14
0089540520896,マリブ　スパイスト,,1,1990,1
0089540540092,☆カルｰア バニラ,,8,9440,8
0096749011322,ヘブン・ヒル　オールド　スタイル,,51,55490,59
0096749021345,エヴァン・ウィリアムス　ブラックラベル,,9,14638,9
0096749841707,ジョン・ハミルトン,,9,10020,9
0636191005403,アプルトン　ホワイト,アプルトン　ホワイト　瓶　７５０ｍｌ,3,3330,3
0636191007407,アプルトン　スペシャル,アプルトン　スペシャル　瓶　７５０ｍｌ,4,5120,4
0713565000124,レモンビール,レモンビール_３３０ｍｌ_瓶,4,1790,5
0715126000017,モンテス　クラシック　カベルネ・ソーヴィニヨン,モンテス　クラシックＣＶ,15,19780,16
0715126000116,モンテス　アルファ　カベルネソーヴィニヨン,モンテスアルファ　カベルネ７５０ｍｌ,4,7820,4
