item_cd_2,item_name_1,itemnm,count,amount,quantity
,部門１５４雑,,5,4348,8
30001954,コアントロー　５０ｍｌ,コアントロー_ホワイトキュラソーミニチュア_５０ｍｌ,4,1080,4
3047100093973,ディタ　ライチリキュ・ル　２００ｍｌ,ディタ_ライチタイニー_２００ｍｌ,2,1760,2
3104691012063,ルジェＣドカシス　７００ｍｌ,ルジェ_クレームドカシス_７００ｍｌ,4,5640,4
3104691012209,ルジェＣドカシス　２００ｍｌ,ルジェ_クレームドカシスベビー_２００ｍｌ,10,6480,10
3104691023205,ルジェ　クレーム・ド・ストロベリーベビー　２００ｍｌ,ルジェ_クレームドストロベリーベビー_２００ｍｌ,3,1944,3
3170879825114,ロベールスカリ　カベルネソーヴィニヨン　７５０ｍｌ,ロベール・スカリカベルネソーヴィニヨン１２　７５０,1,1477,1
3175520018778,カステル　ブレサック　ボルドー　ルージュ　７５０ｍｌ,ブレサック　ボルドールージュ２０１４赤　７５０ｍｌ,11,8778,11
3175520018839,カステル　ブレサック　ボルドー　ブラン　７５０ｍｌ,ブレサック　ボルドーブラン２０１４　白　７５０ｍｌ,5,2946,5
3185370001233,モエ　エ　シャンドンモエ　アンペリアル　７５０ｍｌ,モエ　アンペリアル　ソーバブリーギフトＢ７５０ｍｌ,1,5180,1
3185370226766,モエ　エ　シャンドンモエ　アンペリアル　３７５ｍｌ,モエ　アンペリアル　ソーバブリーギフトＢ３７５ｍｌ,2,5960,2
3185370677155,モエ　エ　シャンドンモエ　アンペリアル　記念ボトル　７５０ｍｌ,モエ・エ･シャンドンモエアンペリアル１５０ＡＮＶ_７５０ｍｌ,1,4980,1
3211200991044,バロンド　レスタックボルドー　白　７５０ｍｌ,カステル・バロン・ド・レスタック・ボルドー白_７５０ｍｌ,2,1996,2
3211200991075,バロンド　レスタックボルドー　７５０ｍｌ,カステル・バロン・ド・レスタック・ボルドー赤_７５０ｍｌ,14,13821,14
3242160105318,タラニ　マルベック　７５０ｍｌ,タラニ・マルベック７５０ｍｌ,3,2694,3
3245994098412,ＭＨＤ　ヘネシーＶ．Ｓ　２００ｍｌ,ヘネシー_ＶＳフラスク_２００ｍｌ,2,1868,2
3245995960015,ＭＨＤ　ヘネシーＶ．Ｓ　７００ｍｌ,ヘネシー_ＶＳリミテッド・エディション_７００ｍｌ,1,6560,2
3262151055750,カデ・ドック・カベルネ・ソーヴィニヨン　７５０ｍｌ,ＢＰル・カデ　カベルネＳ０６　７５０ｍｌ,5,4740,5
3262151951373,アニョー・ルージュ　３７５ｍｌ,バロンフィリップＲ　アニョーＲ　赤　３７５ｍｌ,4,2192,4
3262151971371,ムートン・カデ　ルージュ　ハーフ　３７５ｍｌ,バロンＰ　ロスＣムートンカデ　赤　３７５ｍｌ,1,839,1
3262151971753,ムートン・カデ　ルージュ　７５０ｍｌ,エノテカ　ムートンカデ　ルージュ７５０,9,11520,9
3262152053755,カデ・ドック・シャルドネ　７５０ｍｌ,ＢＰ　ル・カデ　シャルドネ０６　７５０ｍｌ,1,948,1
3262152951372,アニョー・ブラン　３７５ｍｌ,バロンフィリップＲ　アニョーブラン白　３７５ｍｌ,5,2740,5
3262152954755,ムートン・カデ　ブラン　７５０ｍｌ,バロンＦＲ　ムートンカデ・ブラン　７５０ｍｌ,3,3840,3
3262153955751,ムートン・カデ　ロゼ　７５０ｍｌ,ＢＰＲ　ル・ロゼ・ド・ムートンカデ　７５０ｍｌ,2,2560,2
3267682136152,くらしモア　ハイランドクイーン　７００ｍｌ,ＨＩＧＨＬＡＮＤＱＵＥＥＮ_７００ｍｌ,9,7482,9
3272591640447,タラニ　ソーヴィニヨン・ブラン　７５０ｍｌ,,1,898,1
3274440060734,リシュバロン　ブラン　７５０ｍｌ,リシュバロン　ブラン　白　７５０ｍｌ,2,982,2
3274440060741,リシュバロン　ルージュ　７５０ｍｌ,リシュバロン・ルージュ_グルナッシュ/シラー/メルロー_７５０ｍｌ,4,2140,4
3296324299412,ドメーヌ　バロン　ド　ロートシルト　ボルドーレゼルブスペシアル　７５０ｍｌ,ドメーヌ・バロン・ド・ロートシルト・ボルドー・レゼルブ・スペシアル_メルロ/カベルネ・ソーヴィニヨン_７５０ｍｌ,1,1580,1
3326262226161,シャトー・レ・ザンクル　７５０ｍｌ,Ｃｈ　レ・ザンクル　赤　７５０ｍｌ,2,1996,2
3351650000184,ジョルジュデュブッフ　ボジョレー　３７５ｍｌ,ジョルジュ　デュブッフ　ボジョレー１４　３７５ｍｌ,2,1396,2
3375080155511,シャトー・モンペラ　スペシャルセレクション　ルージュ　７５０ｍｌ,モンペラ・スペシャルセレクション_７５０ｍｌ,2,2922,2
3410210000160,ポルヴェールジャック　シャンパーニュ　ブリュット　７５０ｍｌ,ポルヴェールＪ　シャンパーニュブリュット白　７５０,2,5160,2
3438931009415,デュック　ド　パリ　ブリュット　７５０ｍｌ,デュックドパリ　ブリュット_７５０ｍｌ,8,6384,8
3438931019483,ミュスカドール　マスカット　スパークリングワイン　７５０ｍｌ,ミュスカドール　マスカット　スパークリング　７５０,1,998,1
3479210005360,シャトー　グラン・ジャン　アントゥルドゥメール　７５０ｍｌ,Ｃｈグランジャン　アントゥルドゥＭ　０６　７５０,3,2694,3
3479210006169,シャトー　グラン・ジャン　ボルドー　７５０ｍｌ,シャトー　グラン・ジャン　赤　瓶　７５０ｍｌ,10,7184,8
3500610106354,シャトー・レ・アガレット　７５０ｍｌ,シャトー　レザガッド　赤　７５０ｍｌ,1,898,1
3525490010232,レ・ジャメル　ピノノワール　７５０ｍｌ,レジャメル　ピノノワール　赤　７５０ｍｌ,1,1280,1
3535923001003,ルイジャド　ＢＶコンボージャック７５０ｍｌ,ＬＪ　ボジョレーＶ・コンボージャック　７５０ｍｌ,2,3392,2
3566921001177,ルイラトゥール　Ｂシャルドネ　７５０ｍｌ,ルイ・ラトウール・ブルゴーニュ・シャルドネ_７５０ｍｌ,1,1980,1
3566921002976,ルイラトゥール　Ｂピノノワール　７５０ｍｌ,ＬＬ　ブルゴーニュ・ピノ・ノワール１３　７５０ｍｌ,5,10700,5
3700619314006,オーバーシーズ　レ・ミューズ・ド・ラ・ヴィーニュ　メルロー・カベルネ　７５０ｍｌ,オーバーシーズ　Ｌヴィーニュ　メルローＣ　７５０ｍｌ,1,898,1
