item_cd,item_name,category1_cd,category2_cd,category3_cd,itemnm,count,amount,f0_
0,?,249,5249,0,月桂冠　月桂冠上撰１本詰め　１８００ｍｌ,609,253967,438
2049402113008,?,249,2494,21,,2,0,0
2124924010001,清酒　化粧箱（日本酒名入り）１升瓶１本用,249,2492,401,,1,152,1
2124924030009,地酒　ワイン　化粧箱（無地）中容量　１本用,249,2492,403,,2,170,2
2448,?,249,2492,404,越の誉　大吟譲生酒２本セット,4,846,6
2547,?,249,2492,0,,1,85,1
2554,?,249,2492,0,,6,705,5
2724910000001,?,249,2491,0,,1,-5,-1
2724920000008,?,249,2492,0,,6,3055,6
2724940000002,?,249,2494,0,,1,4880,1
2724950000009,?,249,2495,0,,4,2860,4
2724970000003,?,249,2497,0,,5,1460,15
2725050000005,?,249,2505,0,,3,6982,3
2725080000006,?,249,2508,0,,6,600,6
2752,?,249,2495,0,,1,85,1
3024482270123,ＲＣＪ　レミーマルタンＶＳＯＰ　７００ｍｌ,249,2506,104,レミーマルタン_ＶＳＯＰ_７００ｍｌ,3,13494,3
3029440000026,ランソン　アイボリー　ドミセック　３７５ｍｌ,249,2495,491,ランソン・アイボリーＬ・ドミ・セック　３７５ｍｌ,2,5160,2
3029440000279,?,249,2495,490,ランソン・ブラックラベル・ブリュットＨ　３７５ｍｌ,2,4960,2
3029440000279,?,249,2495,123,ランソン・ブラックラベル・ブリュットＨ　３７５ｍｌ,1,2458,1
3029440000286,?,249,2495,489,ランソン・ブラックラベル・ブリュット　７５０ｍｌ,1,4598,1
3035542012607,ＲＣＪ　コアントロー　３５０ｍｌ,249,2508,506,コアントロー_ホワイトキュラソー_３５０ｍｌ,15,20670,15
3049614084133,?,249,2495,846,ヴーヴ・クリコイエローラベルデザインＢＯＸ　３７５,7,22425,7
3049614184390,（新）ヴーヴクリコ　イエローラベル　ブリュット３７５ｍｌ,249,2495,846,ヴーヴ・クリコイエローラベル_ピノ・ノワール/シャルドネ/ピノ・ムニエ_３７５ｍｌ,3,11810,3
3080216015507,フランス　クローネンブルグ・ブラン　３３０ｍｌ,249,2491,19,クローネンブルグ_ブラン_３３０ｍｌ_瓶,13,6570,15
3104691012063,サントリー　ルジェ　クレーム　ド　カシス　７００ｍｌ,249,2508,449,ルジェ_クレームドカシス_７００ｍｌ,14,21280,14
3104691012209,サントリー　ルジェ　クレーム　ド　カシス　２００ｍｌ,249,2508,448,ルジェ_クレームドカシスベビー_２００ｍｌ,143,100081,145
3104691023205,サントリークレームドストロベリー　２００ＭＬ,249,2508,209,ルジェ_クレームドストロベリーベビー_２００ｍｌ,10,4216,10
3104691024202,サントリールジェ　ペシェ　ベビー　２００ＭＬ,249,2508,531,ルジェ_クレームドピーチベビー_２００ｍｌ,12,8400,12
3104691026206,サントリールジェクレームドブルーベリー２００ｍｌ,249,2508,221,ルジェ_クレームドブルーベリーベビー_２００ｍｌ,17,8364,17
3104691027203,サントリールジェ　クレーム　ド　フランボワーズベビー,249,2508,505,ルジェ_クレームドフランボワーズベビー_２００ｍｌ,18,8540,16
3104691351438,サントリー　ルジェピンクグレープフルーツ　２００ｍｌ,249,2508,66,ルジェ_ピンクグレープフルーツベビー_２００ｍｌ,27,12498,27
3105714150557,ポール・ジャブレ　パラレル４５　ルージュ　７５０ｍｌ,249,2495,691,ＰＪコートデュローヌ・パラレル４５　赤　７５０ｍｌ,1,1580,1
3142920001822,ラシャス　デュ　パプ　コートデュローヌ　赤　７５０ｍｌ,249,2495,738,ラ・シャス・コート　デュ・ローヌ赤１４　７５０ｍｌ,31,34797,31
3159560601435,カルベ　マルゴー　７５０ｍｌ,249,2495,549,カルベ　マルゴー　２０１６,5,12864,3
3159567000101,サントリー　カルベレゼルブ　オーガニック　７５０ｍｌ,249,2495,998,カルベ　レゼルブ　オーガニック(赤)　2014 750ml,3,5640,3
3170879825107,ロベールスカリ　シャルドネ７５０ＭＬ,249,2495,305,ロベール　スカリ　シャルドネ　１４　瓶　７５０ｍｌ,14,17949,14
3170879825114,ロベールスカリ　カベルネソービニヨン　７５０ｍｌ,249,2495,302,ロベール・スカリカベルネソーヴィニヨン１２　７５０,59,74691,57
3174144607993,サントリーバユオーロゼダンジュ７５０ｍｌ,249,2495,277,バユオー　ロゼダンジュレクレールコント１４　７５０,3,3450,3
3175520018778,カステルブレサック　ボルドールージュ　７５０ｍｌ,249,2495,894,ブレサック　ボルドールージュ２０１４赤　７５０ｍｌ,273,217014,273
3175520018839,カステルブレサック　ボルドーブラン　７５０ｍｌ,249,2495,893,ブレサック　ボルドーブラン２０１４　白　７５０ｍｌ,91,70742,89
3175520300224,カステル　ヴューパープ　赤　２５０ｍｌ,249,2495,721,カステル　ヴュー・パープ　赤　２５０ｍｌ,69,20994,71
3175520301047,カステル　ヴューパープ　白　２５０ｍｌ,249,2495,722,カステル　ヴュー・パープ　白　２５０ｍｌ,39,13194,45
3183520702986,フライシャー　ゲヴュルツトラミネール　７５０ｍｌ,249,2495,623,フライシャーゲヴュルツ　１４,11,20580,11
3185370001233,モエ　エ　シャンドン　ブリュットアンペリアル　７５０ｍｌ,249,2495,791,モエ　アンペリアル　ソーバブリーギフトＢ７５０ｍｌ,4,21520,4
3185370061503,モエ　エ　シャンドン　ロゼアンペリアル　７５０ｍｌ,249,2495,853,モエ　ロゼアンペリアル　トワレ・ド・ジュイ　７５０,11,59832,9
3185370226766,モエ　エ　シャンドン　ブリュットアンペリアル　３７５ｍｌ,249,2495,854,モエ　アンペリアル　ソーバブリーギフトＢ３７５ｍｌ,9,32936,9
3185370226810,モエ　エ　シャンドン　ロゼアンペリアル　３７５ｍｌ,249,2495,855,モエ　ロゼ　アンペリアル　ハーフギフト　３７５ｍｌ,7,26271,7
3211200991044,サントリー　バロンドレスタックボルドー白　７５０ｍｌ,249,2495,771,カステル・バロン・ド・レスタック・ボルドー白_７５０ｍｌ,111,115344,107
3211200991075,サントリー　バロンドレスタックボルドー赤　７５０ｍｌ,249,2495,770,カステル・バロン・ド・レスタック・ボルドー赤_７５０ｍｌ,184,218916,203
3211201007843,サントリー　デリカ赤７５０ｍｌ,249,2495,33,デリカ_カリニャン/グルナッシュ/メルロ_７５０ｍｌ,3,1710,3
3245995960015,ＭＨＤ　ヘネシーＶＳＢ　７００ｍｌ,249,2506,106,ヘネシー_ＶＳリミテッド・エディション_７００ｍｌ,8,33504,8
3256811115557,レ・カーヴ・アメデ　フォントゥス　７５０ｍｌ,249,2495,376,フォントゥス_シラー/グルナッシュ_７５０ｍｌ,8,8586,8
3262151971753,バロン・フィリップ・ロスチャイルド　ムートン・カデ・ルージュ　７５０ｍｌ,249,2495,665,エノテカ　ムートンカデ　ルージュ７５０,50,70287,50
3262152116757,バロン・フィリップ　ムートン・カデ・Ｓブラン　７５０ｍｌ,249,2495,214,バロンフィリップ　ムートン・カデＳＶ白　７５０ｍｌ,3,2370,3
3262152951372,バロン・フィリップ・ロスチャイルド　アニョー・ブラン　ハーフ　３７５ｍｌ,249,2495,256,バロンフィリップＲ　アニョーブラン白　３７５ｍｌ,7,4606,7
3262152954755,バロン・フィリップ・ロスチャイルド　ムートン・カデ・ブラン　７５０ｍｌ,249,2495,666,バロンＦＲ　ムートンカデ・ブラン　７５０ｍｌ,23,32430,23
3296324299412,バロンドロートシルトボルドーレゼルブ７５０ｍｌ,249,2495,638,ドメーヌ・バロン・ド・ロートシルト・ボルドー・レゼルブ・スペシアル_メルロ/カベルネ・ソーヴィニヨン_７５０ｍｌ,9,16965,9
3296325299619,サントリー　バロンロートシルトボルドーレゼルブ　７５０ｍｌ,249,2495,823,バロンロートシルトボルドーレゼルブ１６白７５０ｍｌ,7,13860,7
3304020006132,?,249,2495,323,ローズナンバー５　ブランドブランＳＰ　７５０ｍｌ,1,1980,1
3337690069350,ブシャールＰ＆Ｆ　Ｂシャルドネ　ラ　ヴィニェ　７５０ｍｌ,249,2495,422,ブシャールＢＧＮシャルドネ　ラヴィニェ１４　７５０,14,32460,14
3337690069923,ブシャールＰ＆Ｆ　Ｂピノ・ノワール　ラ　ヴィニェ　７５０ｍｌ,249,2495,421,ブシャール・ペール・エ・フィス・ブルゴーニュ・ラ・ヴィニェ_ピノ・ノワール_７５０ｍｌ,18,40952,16
3351650000184,サントリー　ＧＤボジョレー　３７５．００ｍｌ,249,2495,826,ジョルジュ　デュブッフ　ボジョレー１４　３７５ｍｌ,34,28162,34
3351650000313,デュブッフ　プーイィ・フュイッセ　７５０ｍｌ,249,2495,795,デュブッフ　プーイィ・フュイッセ　７５０ｍｌ,2,6360,2
3351650003239,サントリー　ＧＤボジョレー　２５０ｍｌ,249,2495,837,ジョルジュ　デュブッフ　ボジョレー１４　２５０ｍｌ,17,9120,17
3355820080266,ドメーヌヴージョレー　ブルゴーニュルージュ　７５０ｍｌ,249,2495,314,ドメーヌ・ド・ラ・ヴージュレ テール・ドゥ・ファミーユ赤,5,17050,5
3429671542089,シャトー　ベルヴュー　７５０ｍｌ,249,2495,103,シャトーベルヴュー赤７５０ｍｌ,26,25480,26
3429679938280,グランヴァンジロンド　シェルヴィーユ　ルージュ　７５０ｍｌ,249,2495,610,ＧＶＧ　シェルヴィーユ　ルージュ　７５０ｍｌ,14,9772,14
3429679938341,グランヴァンジロンド　シェルヴィーユ　ブラン　７５０ｍｌ,249,2495,609,ＧＶＧ　シェルヴィーユ　ブラン　７５０ｍｌ,2,1396,2
3438931009415,サントリー　デュックドパリブリュット　７５０ｍｌ,249,2495,790,デュックドパリ　ブリュット_７５０ｍｌ,99,106434,99
3438931019483,サントリー　ミュスカドール　７５０ｍｌ,249,2495,122,ミュスカドール　マスカット　スパークリング　７５０,20,21200,20
3443620068185,サントリー　ウィリアムフェーブル　シャブリ　７５０ｍｌ,249,2495,423,ウィリアム　フェーブル　シャブリ,8,23904,8
3500610063190,ＪＰ．ＣＨＥＮＥＴ　ＣＬＡＳＳＩＣ　ＭＥＲＬＯＴ　ＲＯＳＥ　７５０ｍｌ,249,2495,512,ＪＰシェネ　クラシック　メルロー　ロゼ,2,2160,2
3525490010027,バデクレマン　レジャメル　カベルネソーヴィニヨン　７５０ｍｌ,249,2495,550,レジャメル　ＶＤＰカベルネソーヴィニヨン赤　７５０,8,10384,8
