item_cd,item_name,itemnm,count,amount,quantity
2486603018,フルセイル　エアストリームＩ,,6,3024,8
2486619017,フルセイル　セッションイージ,フルセイル_セッションイージーＩＰＡ_３５５ｍｌ_缶,5,2506,7
2486622018,フルセイル　アトマイザーイン,,7,3492,9
3043700103319,マム　グラン　コルドン　７５,マム　グラン　コルドン　７５０ｍｌ,1,4580,1
3047100093973,ディタ　　　　　　２００ｍｌ,ディタ_ライチタイニー_２００ｍｌ,1,686,1
3058080088873,パトリアッシュシャルドネブリ,ＰＡＴ　シャルドネ　ブリュット　７５０ｍｌ,14,17218,15
3104691012063,ルジェ　クレーム　ド　カシス,ルジェ_クレームドカシス_７００ｍｌ,6,8748,6
3104691012209,ルジェ　カシス　２００ｍｌ,ルジェ_クレームドカシスベビー_２００ｍｌ,7,4746,7
3104691023205,ルジェ　ストロベリー２００ｍ,ルジェ_クレームドストロベリーベビー_２００ｍｌ,1,678,1
3105714050550,ジョエルロブション　ルージュ,ジョエル・ロブション・ルージュ_７５０ｍｌ,4,9120,4
3105717850133,ロブション　ソーヴィニヨンブ,ＰＪエネ　ショエルＲ　ソーヴィニヨンブラン　７５０,3,5640,3
3120581453594,シャブリ・アンリ・ド・バエザ,シャブリアンリ・ド・バエザ,7,13860,7
3185370000021,モエアンペリアル３７５ｍ,モエシャンドン　アンペリアル　３７５ｍｌ,2,6560,2
3185370000335,モエエシャンドン７５０ｍｌ,モエ　ブリュットアンペリアル　７５０ｍｌ,5,31080,6
3185370604403,モエアンペリアル２００,モエ・エ・シャンドン　モエ　アンペリアル２００ｍｌ,2,5550,3
3187854480138,アルザスリースリング７５０,オルシュヴィレール　アルザスリースリング７５０ｍｌ,1,1580,1
3211200991044,バロンドレスタック白７５０ｍ,カステル・バロン・ド・レスタック・ボルドー白_７５０ｍｌ,14,13002,14
3211200991075,バロンドレスタック赤７５０ｍ,カステル・バロン・ド・レスタック・ボルドー赤_７５０ｍｌ,22,18610,20
3245592555034,ジャンドルセーヌブリュ２００,ＳＶジャン・ドルセーヌブリュ　２００ｍｌ,7,4122,9
3245994098412,ＭＨＤヘネシーＶＳフラスク２,ヘネシー_ＶＳフラスク_２００ｍｌ,5,4790,5
3258470014004,シャトーベルグラーヴ７５０ｍ,シャトー・ベルグラーヴ_７５０ｍｌ,5,7900,5
3262151055750,バロン・フィリップ　カベルネ,ＢＰル・カデ　カベルネＳ０６　７５０ｍｌ,7,5786,7
3262151951373,エノテカ　アニョー・ルージュ,バロンフィリップＲ　アニョーＲ　赤　３７５ｍｌ,11,6578,11
3262151971753,ムートン・カデ・ルージュ７５,エノテカ　ムートンカデ　ルージュ７５０,4,5920,4
3262152053755,バロン・フィリップ　シャルド,ＢＰ　ル・カデ　シャルドネ０６　７５０ｍｌ,2,1596,2
3262152951372,エノテカ　アニョー・ブラン,バロンフィリップＲ　アニョーブラン白　３７５ｍｌ,5,2990,5
3262152954755,ムートン・カデ・ブラン７５０,バロンＦＲ　ムートンカデ・ブラン　７５０ｍｌ,1,1480,1
3272590049050,グラニティエール　ルージュ,レ　グラニティエール　ルージュ　７５０ｍｌ,1,998,1
3272590049074,グラニティエール　ブラン７５,レ　グラニティエール　ブラン　７５０ｍｌ,1,998,1
