item_cd,item_name,itemnm,count,amount,quantity
3035542012607,コアントロー　　３５０ｍｌ,コアントロー_ホワイトキュラソー_３５０ｍｌ,1,1160,1
3104691012209,ルジェ　カシス　２００ｍｌ,ルジェ_クレームドカシスベビー_２００ｍｌ,11,7238,11
3104691023205,ルジェ　ストロベリー２００ｍ,ルジェ_クレームドストロベリーベビー_２００ｍｌ,1,658,1
3104691024202,クレームドペシェベビー２００,ルジェ_クレームドピーチベビー_２００ｍｌ,3,1974,3
3170872010029,フォルタン　カベルネＳ　３７,フォルタン　カベルネソーヴィニヨン１４　３７５ｍｌ,2,1196,2
3170872010043,フォルタンシャルドネ３７５ｍ,フォルタン　シャルドネ　１４　中瓶　３７５ｍｌ,3,1794,3
3174144607993,バュオーロゼＤレクレールコン,バユオー　ロゼダンジュレクレールコント１４　７５０,2,1952,2
3175520018839,カステル　ボルドー白７５０,ブレサック　ボルドーブラン２０１４　白　７５０ｍｌ,1,748,1
3185370226766,モエアンペリアルハーフ３７５,モエ　アンペリアル　ソーバブリーギフトＢ３７５ｍｌ,3,9840,3
3185370226810,モエロゼアンペリアルハーフ３,モエ　ロゼ　アンペリアル　ハーフギフト　３７５ｍｌ,3,9828,3
3211200991044,バロンドレスタック白７５０ｍ,カステル・バロン・ド・レスタック・ボルドー白_７５０ｍｌ,11,8532,9
3211200991075,バロンドレスタック赤７５０ｍ,カステル・バロン・ド・レスタック・ボルドー赤_７５０ｍｌ,11,10428,11
3245994098412,ＭＨＤヘネシーＶＳフラスク２,ヘネシー_ＶＳフラスク_２００ｍｌ,1,980,1
3245995960015,ＭＨＤヘネシーＶＳ７００ｍｌ,ヘネシー_ＶＳリミテッド・エディション_７００ｍｌ,1,3380,1
3262151971753,ムートン・カデ・ルージュ７５,エノテカ　ムートンカデ　ルージュ７５０,1,1580,1
3263280104838,Ｊ・Ｐシェネカベルネパック,ＪＰシェネ　カベルネ　シラー　赤　１８７ｍｌ,20,5712,24
3263280104845,Ｊ・Ｐシェネシャルドネパック,ＪＰシェネ　コロンバールシャルドネ白　１８７ｍｌ,26,6664,28
3296324299412,ＢＲＳボルドーレゼルブ赤７５,ドメーヌ・バロン・ド・ロートシルト・ボルドー・レゼルブ・スペシアル_メルロ/カベルネ・ソーヴィニヨン_７５０ｍｌ,2,3960,2
3296325299619,ＢＲＳボルドーレゼルブ白７５,バロンロートシルトボルドーレゼルブ１６白７５０ｍｌ,2,3168,2
3337690070424,ブルゴーニュ　ピノノワール,ブシャール　ピノノワール・ラ・ヴィニェ１３　３７５,3,4194,3
3338590008753,カーヴドリュニーブルゴーニュ,カーヴドリュニーブルゴーニュ白,10,14080,11
3338590008760,カーヴドリュニーブルゴーニュ,カーヴドリュニーブルゴーニュ赤,10,12800,10
3351650000191,ＪＤ　ボジョレーＶ　３７５ｍ,ジョルジュデュブッフ　ボジョレーＶ１４　３７５ｍｌ,5,4740,5
3433330073098,Ｃｈグロメル・ベレール赤,シャトー・グロメル・ベレール・ボルドー・シュペリウール,1,1280,1
3433330074538,グロメル・べレールブラン,レ・オー・ド・グロメル・べレール・ボルドー・ブラン,1,1280,1
3438931019483,Ｍ　マスカット　ＳＰワイン,ミュスカドール　マスカット　スパークリング　７５０,8,7478,8
3443620068321,フェーブルシャブリ　白　３７,ウィリアム　フェーブル　シャブリ　１４　３７５ｍｌ,2,3456,2
3500610111266,ミッシェルセルヴァンブランド,ミッシェルセルヴァンブランドブ,8,8338,11
3500610115370,コート・ド・ブッフ　７５０ｍ,コート・ド・ブッフ_シラー/マルセラン_７５０ｍｌ,6,6348,6
3500610122989,ミッシェルセルヴァンボルドー,ミッシェル・セルヴァン・ボルドーブラン_７５０ｍｌ,10,6755,10
