,jancd,itemnm,scat1cd,scat1nm,scat2cd,scat2nm,scat3cd,scat3nm,scat4cd,scat4nm,scatnm,makercd,makernm,itemkikaku,jan_2digits,jan_３digits,jan_3digits
53,8200077337,S ｸﾗｳﾝ･ﾛｰﾔﾙ ﾉｰｻﾞﾝﾊｰﾍﾞｽﾄ ﾗｲ 45ﾟ 750ml,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,82,820,820
70,8115836,２０１３　夏の頒布会　３００ｍｌ×６本,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,81,811,811
100,2780,飲みごたえセット　２４,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,27,278,278
138,220101,ダミー【酒　清酒　清酒】,014,飲料･酒類,001,清酒,,,,,清酒,,,0,22,220,220
149,2824,３５８０セット　５８,014,飲料･酒類,089,ｷﾞﾌﾄ他,,,,,ｷﾞﾌﾄ他,,,0,28,282,282
168,8012013360,S ｱﾙﾏﾃﾞﾝ･ｸﾗｼｯｸ･ﾎﾜｲﾄ 5L,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,0,80,801,801
187,661,手打ち　酒,014,飲料･酒類,099,ｱﾙｺｰﾙ飲料不明,,,,,ｱﾙｺｰﾙ飲料不明,,,0,66,661,661
189,3137017,アンリ・フェッシ　ボージョレ・ロゼ２本セット 750ml*2,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,1500,31,313,313
270,8524650010,メーカーズマーク４６　４７度　７５０ｍｌ　　　　　　　　　　　　　　　　　　　　,014,飲料･酒類,051,ﾜｲﾝ・甘味果実酒,,,,,ﾜｲﾝ・甘味果実酒,,,750,85,852,852
273,8811015860,キリンビール　　タンカレーナンバー１０　７５０ＭＬ,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,,,,,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,,,0,88,881,881
