jancd,itemnm,scat1cd,scat1nm,scat2cd,scat2nm,scat3cd,scat3nm,scat4cd,scat4nm,scatnm,makercd,makernm,itemkikaku,jan_2digits,jan_３digits,jan_3digits
AAA003326784A,PBｼｮｳﾋﾝ (ﾋｺｳｶｲ),014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,AA,AAA,AAA
AAA003326483A,PBｼｮｳﾋﾝ (ﾋｺｳｶｲ),014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,AA,AAA,AAA
AAA003325172A,PBｼｮｳﾋﾝ (ﾋｺｳｶｲ),014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,AA,AAA,AAA
AAA003325317A,PBｼｮｳﾋﾝ (ﾋｺｳｶｲ),014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,AA,AAA,AAA
AAA002718023A,PBｼｮｳﾋﾝ (ﾋｺｳｶｲ),014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,AA,AAA,AAA
AAA003326629A,PBｼｮｳﾋﾝ (ﾋｺｳｶｲ),014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,AA,AAA,AAA
AAA003383641A,PBｼｮｳﾋﾝ (ﾋｺｳｶｲ),014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,AA,AAA,AAA
ck00000000100,いつでも注文　本みりん（小）　１００１０００ｍｌ,014,飲料･酒類,031,みりん,,,,,みりん,,,0,ck,ck0,ck0
AAA003325479A,PBｼｮｳﾋﾝ (ﾋｺｳｶｲ),014,飲料･酒類,041,ﾋﾞｰﾙ･発泡酒,,,,,ﾋﾞｰﾙ･発泡酒,,,0,AA,AAA,AAA
K293422010151,ふんわり鏡月　ゆず　７００ｍｌ,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,700,K2,K29,K29
K293422010165,ふんわり鏡月　うめ　７００ｍｌ,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,700,K2,K29,K29
W605488,養命酒製造 フルーツとハーブのお酒_ライチとカモミール_３００ｍｌ×２４,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,7200,W6,W60,W60
K293422010113,ふんわり鏡月　アセロラ　７００ｍｌ,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,700,K2,K29,K29
W605487,養命酒製造 フルーツとハーブのお酒_ピンクグレープフルーツとジンジャー_２５０ｍｌ×３０,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,7500,W6,W60,W60
K293422010154,カクテルツアーズ　ホワイトサングリア700ｍｌ,014,飲料･酒類,081,ｽﾋﾟﾘｯﾂ・ﾘｷｭｰﾙ,005,RTS,,,RTS,,,700,K2,K29,K29
K291143010158,謙信　特別純米　１．８,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291144010057,代々泉　山田錦純米大吟醸１．８,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
F000091019875,ｼﾞｭﾝｷﾞﾝ･ｸﾄﾞｷｼﾞｮｳｽﾞ1.,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291141012010,男山　上撰,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291144010054,人気一　ゴールド人気　純米大吟醸７２０,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
K291145012002,蓬莱泉　『空』箱入　７２０ｍｌ　,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
K291145012014,久保田　百寿　特別本醸造,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
F000091010148,ﾄｸﾍﾞﾂｼﾞｭﾝﾏｲ ｹﾞﾝﾌﾞﾝ 1,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291143010023,加賀鳶　極寒純米　辛口１．８Ｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291144010048,三千盛　れいじょう純米大吟醸　７２０,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
F000091017963,ﾌｸﾁｮｳ ｼﾞｭﾝｷﾞﾝﾅｶｸﾐ 72,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291142012048,越乃寒梅　別撰本醸造,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291145010013,田酒　特別純米　１．８,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
F000091010094,ｾｲｼｭ ｹﾞﾝﾌﾞﾝ  720ML,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
J291806,八重寿銘醸 地酒_白神山地の四季大吟醸・特別純米酒セット,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,J2,J29,J29
K291142012020,出羽桜　桜花吟醸,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291143015020,白龍　からくち１．８Ｌ　　,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291152011000,神杉　生貯蔵　３００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,300,K2,K29,K29
F000091010421,ｼﾞｮｳｾﾝ ｷｷｮｳﾀｲｺ 720ML,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291143012108,南部美人　大吟醸　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
J102370,福光屋　2018年おとうさん日本一　八年熟成 本格米焼酎720ｍｌ　44174　1本,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,J1,J10,J10
YZ2601896,高木酒造 十四代　純米大吟醸秘蔵酒古酒（特注）７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,YZ,YZ2,YZ2
F000091014214,ﾎﾝｼﾞｮｳｿﾞｳ ｷﾝｶﾒﾋｺﾈｼﾞｮ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
F000091018991,ｹﾞﾝﾌﾞﾝ ﾚｲｼｭ 300ML,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
J102369,福光屋　2018年おとうさん日本一　純米大吟醸720ｍｌ　39506　1本,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,J1,J10,J10
K291143012048,越のかぎろひ　百寿　特別純米,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291144010020,幻　純米大吟原酒　赤箱１．８Ｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291144012046,幻　大吟醸　白箱　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
K291152010006,蓬莱　夏のにごり酒　おんざろっく　７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
SUN6456453,６８　勝山酒造　純米吟醸　山田錦　３１日,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,SU,SUN,SUN
K291143010203,覇者　純米酒　１．８Ｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
F000091019363,ﾀﾞｲｷﾞﾝｼﾞｮｳﾎｺｽｷﾞ1.8L,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291143010198,伯楽星　純米吟醸　ワールドカップ７５０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,750,K2,K29,K29
K291151010035,渓流　氷高熟成生原酒７２０ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
K291151013007,天領　なま搾りたて,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
F000091019325,ﾎｺｽｷﾞ ｼｭｳｽｲ 1.8L ｹｰｽ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291143013114,古戦場　桶狭間７２０ｍｌ　　,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
A687072,純米吟醸 めでたの戌（いぬ）240ml 2本,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,480,A6,A68,A68
A785812,上撰さけパックプレミアムブレンド1.8L 2本,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,3600,A7,A78,A78
F000091012326,ｾｯﾁｭｳﾊﾞｲ 720ML,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
F000091010100,ｾｲｼｭ ｹﾞﾝﾌﾞﾝ 300ML,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
F000091014580,ｹﾞﾝﾌﾞﾝ ｻｸﾗ 720ML,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
F000091017055,ｹﾞﾝﾌﾞﾝ ｼﾎﾞﾘﾀﾃﾅﾏｹﾞﾝｼｭ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
H849776,ふなぐち菊水 一番しぼり 200ml 菊水酒造 3本,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,600,H8,H84,H84
F000091019196,ｹﾞﾝﾌﾞﾝ ｼﾎﾞﾘﾀﾃ 1.8L,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
F000091019318,ﾎｺｽｷﾞ ｻｶｸﾞﾗ ﾊﾟｯｸ 1.8,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
F000091012302,ﾈﾁｵﾄｺﾔﾏ JG55% ﾅﾏｹﾞﾝｼ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
F000091014610,ｹﾞﾝﾌﾞﾝ ｷｸ ｼﾞｭﾝﾏｲｷﾞﾝｼ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291112992004,白雪　上撰ブルーパック２ＬＣ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,2000,K2,K29,K29
K291142012040,浦霞　本仕込　　,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291145012012,越乃寒梅　白ラベル,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291151013003,白鹿しぼりたて　９００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,900,K2,K29,K29
F000091019110,ｹﾞﾝｼｭ ｾﾝﾋﾟｮｳ 1.8L,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291142010010,菊石　もと　本醸造　１．８Ｌ　　,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291143012126,幻の瀧　純米吟醸１．８Ｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291153010003,一ノ蔵　すず音,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,300,K2,K29,K29
F000091014238,ﾊﾅﾉﾏｲ ｶﾀﾅｼﾞｭﾝﾏｲﾁｮｳｶﾗ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,F0,F00,F00
K291143012002,蓬莱泉　『美』箱入７２０ｍｌ　　,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,720,K2,K29,K29
K291151011020,菊水ふなぐち一番しぼり１Ｌ缶,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1000,K2,K29,K29
SUN7950397,６６　奥の松　初しぼり特撰純米酒　３１日,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,0,SU,SUN,SUN
J102371,福光屋　2018年おとうさん日本一　菰冠（こもかむり）純米　1800ml　24116　1本,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,J1,J10,J10
K291114012012,白雪　上撰　純米酒,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
K291152010054,白鹿　冷酒飲みくらべキャリーボックス,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,900,K2,K29,K29
K291152016008,青龍の舞　生貯蔵３００ｍｌ,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,300,K2,K29,K29
K291163012002,越の誉　純米金箔入　１．８,014,飲料･酒類,001,清酒,002,地酒,,,地酒,,,1800,K2,K29,K29
