item_cd,item_name,itemnm,count,amount,quantity
0000045069086,上撰エコカップ　　　２１０ｍｌ,,12,2795,15
0000049214116,ステラ光年　２０°　７２０ｍｌ,,1,700,1
0000049337006,梅酒　プラＱ　　　　１６０ｍｌ,,20,6078,32
0000049337037,梅酒ピオ　　　　　　５０ｍｌ,,24,3573,39
0000049677072,月ミニカップ　　　　１００ｍｌ,,8,1039,11
0000049677225,月　エコカップ　　　２１０ｍｌ,,22,3611,31
0000049870114,大関上撰　ワンカップ１８０ｍｌ,,36,10007,51
0000049893588,スーパードライ　　　１３５ｍｌ,,72,17851,204
0080660140353,ケンタッキー　　　　ジェントルマン　　　７５０ｍｌ,,1,934,1
0080686816072,カナディアンクラブ　６年　７００ｍｌ　　＜サントリー＞,カナディアンクラブ_７００ｍｌ,36,35585,37
0081128007935,アーリータイムズ　　イエローラベル　　　７００ｍｌ,アーリータイムズ_イエローラベル_７００ｍｌ,11,15335,12
0082184045954,ジャックダニエル　　ブラック　　　　　　７００ｍｌ,ジャックダニエル_ブラックラベル_７００ｍｌ,17,35968,18
0085246500576,メーカーズマーク　　７００ｍｌ,,4,9191,4
0721059002820,ワイルドターキー　　スタンダード　　　　７５０ｍｌ,ワイルドターキー_スタンダード_７００ｍｌ,6,12863,6
3104691012063,ルジェクレームド　　カシス　　　　　　　７００ｍｌ,ルジェ_クレームドカシス_７００ｍｌ,3,4801,3
3211200991075,バロン　ドレスタックボルドー赤　２０１３　７５０ｍｌ,カステル・バロン・ド・レスタック・ボルドー赤_７５０ｍｌ,10,15228,13
4004068110080,ファルケンベルク　　リープフラウミルヒ　マドンナ　７５０ｍｌ,マドンナ・リープフラウミルヒ_リースリング/ミュラートゥルガウ_７５０ｍｌ,2,2360,2
4510582102338,上喜元　　　　　　　特撰蔵酒　　　　　　７２０ｍｌ,上喜元　特撰　蔵酒　７２０ｍｌ,3,3452,3
4514388054815,ビール大瓶１ケース,,2,-800,-2
4514388054822,ビール大瓶１本,,1,-10,-2
4514388054839,清酒一升瓶１本,,5,-72,-15
4514388054846,ビール中瓶１本,,2,-65,-14
4514388058028,赤兎馬　芋　２５°　７２０ｍｌ,２５％芋焼酎　赤兎馬７２０ｍｌ,2,3536,2
4514388058134,中々　麦焼酎２５％　７２０ｍｌ,中々　麦焼酎２５％　７２０ｍｌ,2,3469,2
4514388058530,明るい農村　芋２５°７２０ＭＬ,,1,1880,1
4514388058547,赤兎馬　紫　芋２５°７２０ＭＬ,,4,11139,5
4514657001014,眞露マッコリ　ペット１０００ｍｌ,眞露 ＪＩＮＮＲＯ_マッコリ_１Ｌ,50,34262,82
4515841006020,銀河高原小麦のビール３５０缶,銀河高原ビール 小麦のビール_３５０ｍｌ_缶,1,265,1
4516251000028,黒糖焼酎　　　　　　れんと２５°　　　　７２０ｍｌ,奄美大島開運酒造 れんと_２５度_乙_黒糖_７２０ｍｌ,7,7911,7
4524919342007,こだわりの赤葡萄酒　１８００ｍｌ　　　　＜盛田甲州＞,シャンモリ　こだわりの赤葡萄酒　パック　１．８Ｌ,16,12152,17
4524919342014,こだわりの白葡萄酒　１８００ｍｌ　　　　＜盛田甲州＞,シャンモリ　こだわりの白葡萄酒　パック　１．８Ｌ,11,11729,16
4530511000207,逸見酒造　　　　　　真稜　本醸造　　　　一味の真　１．８Ｌ,逸見酒造 地酒_真稜一味真本醸造酒_１．８Ｌ,1,1550,1
4530511000320,逸見酒造　　　　　　真稜　普通酒　　　　１．８Ｌ,逸見　真稜　無糖加　瓶　１．８Ｌ,2,3398,2
4532620003414,八海山　　　　　　　特別本醸造　　　　　７２０ｍｌ,八海山 地酒_特別本醸造酒_７２０ｍｌ,7,8855,8
4549741279673,トップバリュ　　　　ストロング　ドライ　３５０ｍｌ,イオン トップバリュストロングチューハイ＜ドライ＞_３５０ｍｌ_缶,3,367,6
4549741550932,ＴＶベストプライス　焼酎２５度　　　　　４０００ｍｌ,イオン トップバリュベストプライス焼酎_２５度_甲_４Ｌ_ペット,217,396869,254
4549741550949,ＴＶベストプライス　焼酎２０度　　　　　４０００ｍｌ,イオン トップバリュベストプライス焼酎_２０度_甲_４Ｌ_ペット,118,202664,142
4549741550956,ＴＶベストプライス　焼酎２０度　　　　　２７００ｍｌ,イオン トップバリュベストプライス焼酎_２０度_甲_２．７Ｌ_ペット,158,165309,170
4549741550963,ＴＶベストプライス　焼酎２５度　　　　　２７００ｍｌ,イオン トップバリュベストプライス焼酎_２５度_甲_２．７Ｌ_ペット,141,171842,155
4549741551038,ＴＶベストプライス　果実酒用焼酎３５度　１８００ｍｌ,イオン トップバリュベストプライス果実酒用焼酎_３５度_甲_１．８Ｌ_パック,55,90272,84
4549741567831,トップバリュ　　　　バーリアル　　　　　３５０ｍｌ,イオン トップバリュバーリアル_３５０ｍｌ_缶,215,29585,387
4549741567848,トップバリュ　　　　バーリアル　　　　　３５０ｍｌ×６,イオン トップバリュバーリアル_３５０ｍｌ×６_缶,264,154494,356
4549741567855,トップバリュ　　　　バーリアル　　　　　３５０ｍｌ×６×４,イオン トップバリュバーリアル_３５０ｍｌ×２４_缶,57,122543,70
4549741567862,トップバリュ　　　　バーリアル　　　　　５００ｍｌ,イオン トップバリュバーリアル_５００ｍｌ_缶,77,14588,134
4549741567879,トップバリュ　　　　バーリアル　　　　　５００ｍｌ×６,イオン トップバリュバーリアル_５００ｍｌ×６_缶,63,49831,83
4549741567886,トップバリュ　　　　バーリアル　　　　　５００ｍｌ×６×４,イオン トップバリュバーリアル_５００ｍｌ×２４_缶,9,24820,10
4549741567893,ＴＶバーリアル　　　糖質５０％ＯＦＦ　　３５０ｍｌ,イオン トップバリュバーリアル糖質５０％オフ_３５０ｍｌ_缶,187,25721,342
4549741567909,ＴＶバーリアル　　　糖質５０％ＯＦＦ　　３５０ｍｌ×６,イオン トップバリュバーリアル糖質５０％オフ_３５０ｍｌ×６_缶,318,189278,434
4549741567916,ＴＶバーリアル　　　糖質５０％ＯＦＦ　　３５０ｍｌ×６×４,イオン トップバリュバーリアル糖質５０％オフ_３５０ｍｌ×２４_缶,75,155375,90
4549741567923,ＴＶバーリアル　　　糖質５０％ＯＦＦ　　５００ｍｌ,イオン トップバリュバーリアル糖質５０％オフ_５００ｍｌ_缶,55,10050,96
4549741567930,ＴＶバーリアル　　　糖質５０％ＯＦＦ　　５００ｍｌ×６,イオン トップバリュバーリアル糖質５０％オフ_５００ｍｌ×６_缶,64,54822,89
4549741567947,ＴＶバーリアル　　　糖質５０％ＯＦＦ　　５００ｍｌ×６×４,イオン トップバリュバーリアル糖質５０％オフ_５００ｍｌ×２４_缶,13,42103,17
4549741567954,ＴＶバーリアル　　　リッチテイスト　　　３５０ｍｌ,イオン トップバリュバーリアルリッチテイスト_３５０ｍｌ_缶,19,2637,35
4549741567961,ＴＶバーリアル　　　リッチテイスト　　　３５０ｍｌ×６,イオン トップバリュバーリアルリッチテイスト_３５０ｍｌ×６_缶,28,16320,38
4549741567978,ＴＶバーリアル　　　リッチテイスト　　　３５０ｍｌ×２４,イオン トップバリュバーリアルリッチテイスト_３５０ｍｌ×２４_缶,10,21359,12
4549741567985,ＴＶバーリアル　　　リッチテイスト　　　５００ｍｌ,イオン トップバリュバーリアルリッチテイスト_５００ｍｌ_缶,20,3577,34
4549741567992,ＴＶバーリアル　　　リッチテイスト　　　５００ｍｌ×６,イオン トップバリュバーリアルリッチテイスト_５００ｍｌ×６_缶,17,13899,23
4549741568005,ＴＶバーリアル　　　リッチテイスト　　　５００ｍｌ×２４,イオン トップバリュバーリアルリッチテイスト_５００ｍｌ×２４_缶,4,9758,4
4560164300218,ハディントンハウス　スコッチウイスキー　７００ｍｌ,ハデイントンハウス_スコッチウイスキー_７００ｍｌ,2,1761,2
4562238991025,菊駒　純米酒　　　　７２０ｍｌ,菊駒酒造 地酒_純米酒_１．８L,1,2495,2
4573206140017,ヴィアヘロ　赤　　　バッグインボックス　３０００ｍｌ,ヴィアヘロ　赤　ＢＩＢ　３Ｌ,1,1159,1
4582116371138,麦艶　　　　　　　　３５０ｍｌ,麦艶_３５０ｍｌ_缶,205,25130,341
4582116371145,麦艶　　　　　　　　３５０ｍｌ×６,麦艶_３５０ｍｌ×６_缶,234,140978,325
4582116371152,麦艶　　　　　　　　３５０ｍｌ×６×４,麦艶_３５０ｍｌ×６×４_缶,39,76895,45
4582116371183,麦艶オフ　　　　　　３５０ｍｌ,麦艶_糖質７０％オフ_３５０ｍｌ_缶,183,25218,348
4582116371190,麦艶オフ　　　　　　３５０ｍｌ×６,麦艶_糖質７０％オフ_３５０ｍｌ×６_缶,234,132338,307
4582116371206,麦艶オフ　　　　　　３５０ｍｌ×６×４,麦艶_糖質７０％オフ_３５０ｍｌ×６×４_缶,43,79674,47
4900411001329,樽平　特別純米酒　　銀　　　　　　　　　７２０ｍｌ,樽平酒造 地酒_樽平銀特別純米酒_７２０ｍｌ,1,688,1
4900411004023,樽平　純米酒　　　　一生住吉　　　　　　７２０ｍｌ,樽平酒造 地酒_一生住吉純米酒_７２０ｍｌ,2,1636,2
4901004005625,新本生アクアブルー　５００ｍｌ,アサヒ 本生アクアブルー_５００ｍｌ_缶,1,369,2
4901004005649,新本生アクアブルー　３５０ｍｌ,アサヒ 本生アクアブルー_３５０ｍｌ_缶,3,1156,9
4901004005663,新本生アクアブルー　５００ｍｌ×６,アサヒ 本生アクアブルー_５００ｍｌ×６_缶,3,3782,4
4901004005670,新本生アクアブルー　５００ｍｌ×２４,アサヒ 本生アクアブルー_５００ｍｌ×６×４_缶,2,15984,4
4901004005687,新本生アクアブルー　３５０ｍｌ×６,アサヒ 本生アクアブルー_３５０ｍｌ×６_缶,6,4337,6
4901004005694,新本生アクアブルー　３５０ｍｌ×２４,アサヒ 本生アクアブルー_３５０ｍｌ×６×４_缶,4,12112,4
4901004006714,スーパードライ　　　３５０ｍｌ,アサヒ スーパードライ_３５０ｍｌ_缶,455,132647,689
4901004006721,スーパードライ　　　３５０ｍｌ×６,アサヒ スーパードライ_３５０ｍｌ×６_缶,721,919155,858
4901004006813,スーパードライ　　　５００ｍｌ,アサヒ スーパードライ_５００ｍｌ_缶,367,133618,532
4901004006820,スーパードライ　　　５００ｍｌ×６,アサヒ スーパードライ_５００ｍｌ×６_缶,289,445360,316
4901004008077,本生ドラフト　　　　３５０ｍｌ×２４,アサヒ 本生ドラフト_３５０ｍｌ×６×４_缶,1,9084,3
4901004008176,クリアアサヒ　　　　５００ｍｌ,アサヒ クリアアサヒ_５００ｍｌ_缶,386,87441,581
4901004008190,クリアアサヒ　　　　３５０ｍｌ,アサヒ クリアアサヒ_３５０ｍｌ_缶,360,60207,565
4901004008220,クリアアサヒ　　　　５００ｍｌ×６,アサヒ クリアアサヒ_５００ｍｌ×６_缶,283,283710,330
4901004008237,クリアアサヒ　　　　５００ｍｌ×２４,アサヒ クリアアサヒ_５００ｍｌ×６×４_缶,41,142018,41
4901004008244,クリアアサヒ　　　　３５０ｍｌ×６,アサヒ クリアアサヒ_３５０ｍｌ×６_缶,653,449234,755
4901004008251,クリアアサヒ　　　　３５０ｍｌ×２４,アサヒ クリアアサヒ_３５０ｍｌ×６×４_缶,76,209882,87
4901004009302,スーパードライ　大瓶６３３ｍｌ×２０,アサヒ スーパードライ_６３３ｍｌ×２０_瓶,2,13400,2
4901004009319,スーパードライ　大瓶６３３ｍｌ,アサヒ スーパードライ_６３３ｍｌ_瓶,2,3678,11
4901004009418,ス―パ―ドライ　中瓶５００ｍｌ,アサヒ スーパードライ_５００ｍｌ_瓶,6,5591,20
4901004018298,レッドアイ　　　　　３５０ｍｌ,アサヒ レッドアイ_３５０ｍｌ_缶,251,65526,459
4901004019202,クリアアサヒ　　　　３５０ｍｌ×２４　　景品付,アサヒ クリアアサヒ_３５０ｍｌ×２４_缶,123,336478,135
4901004022738,アサヒスーパードライ景品付３５０ｍｌ　　ケース,アサヒ スーパードライ_３５０ｍｌ×２４_缶,147,737739,170
4901004027160,アサヒオフ　　　　　５００ｍｌ,アサヒ アサヒオフ_５００ｍｌ_缶,14,3235,21
4901004027184,アサヒオフ　　　　　３５０ｍｌ,アサヒ アサヒオフ_３５０ｍｌ_缶,53,9668,94
4901004027207,アサヒオフ　　　　　５００ｍｌ×６,アサヒ アサヒオフ_５００ｍｌ×６_缶,39,37700,43
4901004027221,アサヒオフ　　　　　５００ｍｌ×２４,アサヒ アサヒオフ_５００ｍｌ×６×４_缶,2,5325,2
