item_cd,item_count,clength_e,item_name_e,category1_cd_e,category1_name_e,category2_cd_e,category2_name_e,category3_cd_e,category3_name_e,category4_cd_e,category4_name_e,clength_w,item_name_w,category1_cd_w,category1_name_w,category2_cd_w,category2_name_w,category3_cd_w,category3_name_w,category4_cd_w,category4_name_w
313,2,3,エビバラウリ,12,鮮魚,901202,冷凍,710600,えび,710607,解凍えび,3,エビバラウリ,12,鮮魚,901202,冷凍,710600,えび,710690,その他えび
332,2,3,お魚ハンバーグ　ばらうり,12,鮮魚,901201,生魚,710400,生魚加工品,710402,洋風,3,お魚ハンバーグ　ばらうり,332,婦人ティーンズ,0,,0,,0,
336,2,3,婦人ボトム,12,鮮魚,901201,生魚,710300,大衆魚,710304,いか,3,婦人ボトム,336,婦人ボトム,0,,0,,0,
390,2,3,ほうれん草,390,婦人服,0,,0,,0,,3,ほうれん草,13,野菜,901303,葉茎,881200,葉物,881201,ほうれん草
530,2,3,ゆず　ＰＬＵ,530,バッグ,0,,0,,0,,3,ゆず　ＰＬＵ,13,野菜,901309,つまもの,883300,そえ物,883305,ゆず
571,2,3,バナナ１カット,14,果実,901413,輸入果実,873800,バナナ,873802,エクアドルバナナ,3,バナナ１カット,14,果実,901413,輸入果実,873800,バナナ,873801,フィリピンバナナ
45076381,2,8,モルト　ロレッタＭミルクＮ,47,化粧品,904703,ヘアケア,320300,女性頭髪,320306,ブロー・ミスト,8,モルト　ロレッタＭミルクＮ,47,化粧品,904703,ヘアケア,320300,女性頭髪,320307,ワックス
45076398,2,8,モルト　ロレッタＭミルクＧ,47,化粧品,904703,ヘアケア,320300,女性頭髪,320306,ブロー・ミスト,8,モルト　ロレッタＭミルクＧ,47,化粧品,904703,ヘアケア,320300,女性頭髪,320307,ワックス
45121678,2,8,ＧＡＢＡＮ　ジンジャー　１８,31,加工食品,903114,スパイス,517400,スパイス,517401,ホ－ル,8,ＧＡＢＡＮ　ジンジャー　１８,31,加工食品,903114,スパイス,517400,スパイス,517402,パウダー
45144653,2,8,ソルマック５　５０ｍＬ,73,ドラッグ,907301,治療薬,330100,胃腸薬関連,330104,部外品・胃腸薬関連,8,ソルマック５　５０ｍＬ,73,ドラッグ,907302,保険薬,331100,ドリンク,331103,部外品・ドリンク
45152856,2,8,ＮＣＡオーガニックパセリホー,31,加工食品,903114,スパイス,517400,スパイス,517490,その他スパイス,8,ＮＣＡオーガニックパセリホー,31,加工食品,903114,スパイス,517400,スパイス,517401,ホ－ル
45152894,2,8,ＮＣＡオーガニックローリエＷ,31,加工食品,903114,スパイス,517400,スパイス,517401,ホ－ル,8,ＮＣＡオーガニックローリエＷ,31,加工食品,903114,スパイス,517400,スパイス,517490,その他スパイス
45153044,2,8,ハウス唐がらし族麻辣唐辛子,31,加工食品,903114,スパイス,517400,スパイス,517402,パウダー,8,ハウス唐がらし族麻辣唐辛子,31,加工食品,903114,スパイス,517400,スパイス,517490,その他スパイス
45153198,2,8,ハウス唐がらし族バリ粗唐辛子,31,加工食品,903114,スパイス,517400,スパイス,517402,パウダー,8,ハウス唐がらし族バリ粗唐辛子,31,加工食品,903114,スパイス,517400,スパイス,517490,その他スパイス
45153266,2,8,ハウスアボカドディップ,31,加工食品,903114,スパイス,517400,スパイス,517402,パウダー,8,ハウスアボカドディップ,31,加工食品,903114,スパイス,517400,スパイス,517490,その他スパイス
45186158,2,8,アヲハタカロリーＨブルーベリ,31,加工食品,903104,嗜好品,513100,ジャム,513101,レギュラータイプ,8,アヲハタカロリーＨブルーベリ,31,加工食品,903104,嗜好品,513100,ジャム,513190,その他ジャム
45190292,2,8,ダイマル　メロンソフト,18,日配食品,901813,アイス,832100,アイス,832107,プレミアムアイス,8,ダイマル　メロンソフト,18,日配食品,901813,アイス,832100,アイス,832190,その他（アイス）
45196492,2,8,雪見だいふく安納芋の大学芋,18,日配食品,901813,アイス,832100,アイス,832190,その他（アイス）,8,雪見だいふく安納芋の大学芋,18,日配食品,901813,アイス,832100,アイス,832105,ファンシーアイス
45202421,2,8,レモンティＧプルームテック,75,タバコ,907501,煙草,340200,煙草,340201,国産煙草,8,レモンティＧプルームテック,75,タバコ,907501,煙草,340200,煙草,340202,輸入煙草
45202582,2,8,ＮＡスピリットアガット１Ｐ,75,タバコ,907501,煙草,340200,煙草,340201,国産煙草,8,ＮＡスピリットアガット１Ｐ,75,タバコ,907501,煙草,340200,煙草,340202,輸入煙草
49108064,2,8,ユースキンハナ　ＨＣラベンダ,73,ドラッグ,907301,治療薬,330600,外用薬,330609,部外品・外用薬,8,ユースキンハナ　ＨＣラベンダ,47,化粧品,904705,季節品,320900,スキンケア,320902,ハンドクリ－ム
49276930,2,8,りんご酢＆レモン,31,加工食品,903101,和風調味料,510400,酢,510490,その他酢,8,りんご酢＆レモン,31,加工食品,903101,和風調味料,510400,酢,510401,食酢
