jancd,makercd,itemnm,itemkn,tanka,itemkikaku,itemtani,irisu,width,height,depth,jcat1cd,jcat2cd,jcat3cd,jcat4cd,jcatnm,scat1cd,scat2cd,scat3cd,scat4cd,scat1nm,scat2nm,scat3nm,scat4nm,syubaiflg,hatdate,instime,updtime,delete_flg
00000018,0001777,ｻﾝﾄﾘｰ スーパーホップス6缶パック <ケースカット> 500ml,Sｽｰﾊﾟｰﾎｯﾌﾟｽ500ｶﾝﾊｺ,0,500.0,ml,0,270,170,400,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,1,,2009-06-05 00:00:00,2019-05-31 00:00:00,0
00000019,999999999,酒,Sﾑｷﾞﾉｾﾞｲﾀｸ5006ｶﾝｹｰｽ,0,3000.0,ml,0,270,170,400,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,1,1900-01-01,2009-06-05 00:00:00,2019-05-31 00:00:00,0
00000050,0001777,ｻﾝﾄﾘｰ スーパーホップスマグナムドライ 350ml 6缶ケースカット,Sｽｰﾊﾟｰﾎｯﾌﾟｽ(ﾏｸﾞﾅﾑﾄﾞﾗｲ)350ｹｰｽｶｯ,0,2100.0,ml,0,270,130,400,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,1,,2009-06-05 00:00:00,2019-05-31 00:00:00,0
00000069,4901004,アサヒ 本生ドラフト_３５０ｍｌ×２４_缶,,0,8400.0,ml,24,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2019-08-06 00:00:00,2019-10-23 00:00:00,0
00000071,4901004,アサヒ 本生アクアブルー_３５０ｍｌ×２４_缶,,0,8400.0,ml,24,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000072,4901004,アサヒ 本生アクアブルー_５００ｍｌ×２４_缶,,0,12000.0,ml,24,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000074,4901411,麒麟 淡麗極上＜生＞_３５０ｍｌ×２４_缶,,0,8400.0,ml,24,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000075,4901411,麒麟 淡麗極上＜生＞_５００ｍｌ×２４_缶,,0,12000.0,ml,24,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000076,4901411,麒麟 淡麗グリーンラベル_３５０ｍｌ×２４_缶,,0,8400.0,ml,24,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000077,4901411,麒麟 淡麗グリーンラベル_５００ｍｌ×２４_缶,,0,12000.0,ml,24,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000084,4901411,麒麟 のどごし＜生＞_３５０ｍｌ×２４_缶,,0,8400.0,ml,24,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000085,4901411,麒麟 のどごし＜生＞_５００ｍｌ×２４_缶,,0,12000.0,ml,24,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000094,4901880,サッポロ ドラフトワン_３５０ｍｌ×２４_缶,,0,8400.0,ml,24,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000095,4901880,サッポロ ドラフトワン_５００ｍｌ×２４_缶,,0,12000.0,ml,24,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2009-06-05 00:00:00,2019-10-23 00:00:00,0
00000307,4901880,◆ﾅﾏｼﾎﾞﾘ,,0,0.0,,0,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2010-07-27 00:00:00,2019-10-23 00:00:00,0
00000311,4901870,◆ｽｰﾊﾟｰｼﾞｪﾝﾄ,,0,0.0,,0,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2010-07-27 00:00:00,2019-10-23 00:00:00,0
00000505,999999999,ｷﾘﾝ淡麗生350MLｹｰｽ,,0,8400.0,ml,0,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,1900-01-01,2010-07-27 00:00:00,2019-10-23 00:00:00,0
00000673,,かましん＿発泡酒３５０ＭＬ１ケース,,0,8400.0,ml,24,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000674,,かましん＿発泡酒５００ＭＬ１ケース,,0,12000.0,ml,24,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000694,4901777,かましん＿スーパーマグナムドライケース,,0,0.0,,0,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000696,4901004,かましん＿アサヒ本生　５００ケース,,0,12000.0,ml,24,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000698,4901777,かましん＿サントリーマグナムドライ　５００ケース,,0,12000.0,ml,24,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000699,4901777,かましん＿スーパーマグナムドライケース,,0,0.0,,0,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000705,4901880,かましん＿ブロイ本選り,,0,0.0,,1,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000707,4901777,かましん＿冬道楽３５０ケース,,0,8400.0,ml,24,0,0,0,,,,,,014,041,004,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,新ｼﾞｬﾝﾙ,新ｼﾞｬﾝﾙ,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000716,4901004,かましん＿スパークス,,0,0.0,,1,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000717,4901880,かましん＿鮮烈発泡・生,,0,0.0,,1,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000725,4901411,かましん＿淡麗グリーン缶,,0,0.0,,0,0,0,0,,,,,,014,041,003,002,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒機能系,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
00000726,4901777,かましん＿純生５００ｍｌ,,0,500.0,ml,1,0,0,0,,,,,,014,041,003,001,飲料･酒類,ﾋﾞｰﾙ･発泡酒,発泡酒,発泡酒,0,,2018-05-10 00:00:00,2019-10-23 00:00:00,0
