item_cd,item_count,clength_e,item_name_e,category1_cd_e,category1_name_e,category2_cd_e,category2_name_e,category3_cd_e,category3_name_e,category4_cd_e,category4_name_e,clength_w,item_name_w,category1_cd_w,category1_name_w,category2_cd_w,category2_name_w,category3_cd_w,category3_name_w,category4_cd_w,category4_name_w
2708405749,2,10,マテル　ウノ　ブリスター,000044,玩具,904402,ボーイズトーイ,420700,フックトーイ,420790,その他フックトーイ,10,マテル　ウノ　ブリスター,000044,玩具,904405,ゲーム,421400,一般ゲーム,421403,ミニゲーム
290019400000,2,12,うまづらはぎ,000012,鮮魚,901201,生魚,710100,丸物,710190,その他丸物,12,うまづらはぎ,000012,鮮魚,901201,生魚,710200,切身,710213,はげ
3088540504018,2,13,ルンドミエルハチミツアカシア,000031,加工食品,903104,嗜好品,513200,蜂蜜,513290,その他蜂蜜,13,ルンドミエルハチミツアカシア,000031,加工食品,903104,嗜好品,513200,蜂蜜,513201,蜂蜜
3104691023205,2,13,ルジェ　ストロベリー２００ｍ,000037,酒類,903707,リキュール,343000,ハードリキュール,343001,小容量,13,ルジェ　ストロベリー２００ｍ,000037,酒類,903701,酒,341000,リキュール類,341001,リキュール
313,2,3,エビバラウリ,000012,鮮魚,901202,冷凍,710600,えび,710607,解凍えび,3,エビバラウリ,000012,鮮魚,901202,冷凍,710600,えび,710690,その他えび
332,2,3,お魚ハンバーグ　ばらうり,000012,鮮魚,901201,生魚,710400,生魚加工品,710402,洋風,3,お魚ハンバーグ　ばらうり,000332,婦人ティーンズ,000000,,000000,,000000,
3337872410338,2,13,ＬＲＰクレンジングウォーター,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320207,クレンジング,13,ＬＲＰクレンジングウォーター,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320214,ドクターズコスメ
3337872410840,2,13,トレリアン　モイスチャー　ロ,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320290,その他基礎化粧品,13,トレリアン　モイスチャー　ロ,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320214,ドクターズコスメ
3337872411854,2,13,エファクラ　モイスチャー　バ,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320290,その他基礎化粧品,13,エファクラ　モイスチャー　バ,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320214,ドクターズコスメ
3337872414466,2,13,ＬＲＰＵＶイデアＸＬ,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320290,その他基礎化粧品,13,ＬＲＰＵＶイデアＸＬ,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320214,ドクターズコスメ
3337872419775,2,13,ミセラークレンジングジェル,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320290,その他基礎化粧品,13,ミセラークレンジングジェル,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320214,ドクターズコスメ
3337875482523,2,13,ＵＶイデア,000047,化粧品,904701,メイクアップ,320100,メイクアップ,320190,その他メイクアップ,13,ＵＶイデア,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320214,ドクターズコスメ
3337875482554,2,13,ＬＲＰＵＶイデアＸＬＢＢ０２,000047,化粧品,904701,メイクアップ,320100,メイクアップ,320190,その他メイクアップ,13,ＬＲＰＵＶイデアＸＬＢＢ０２,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320214,ドクターズコスメ
336,2,3,婦人ボトム,000012,鮮魚,901201,生魚,710300,大衆魚,710304,いか,3,婦人ボトム,000336,婦人ボトム,000000,,000000,,000000,
3401329447687,2,13,イドラビオモイストクリーム,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320204,クリ－ム,13,イドラビオモイストクリーム,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320201,保湿タイプ
3401528521157,2,13,イドラビオエイチツーオー　１,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320290,その他基礎化粧品,13,イドラビオエイチツーオー　１,000047,化粧品,904701,メイクアップ,320100,メイクアップ,320114,サナ
3433422401907,2,13,化粧品,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320290,その他基礎化粧品,13,化粧品,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320214,ドクターズコスメ
3543262203354,2,13,オーガニックプルーンピュレ３,000031,加工食品,903104,嗜好品,513100,ジャム,513103,ノンシュガー,13,オーガニックプルーンピュレ３,000031,加工食品,903104,嗜好品,513100,ジャム,513190,その他ジャム
3700035762,2,10,ダウニーエイプリルフレッシュ,000041,トイレタリー,904101,洗剤,310200,仕上剤,310202,濃縮軟剤,10,ダウニーエイプリルフレッシュ,000041,トイレタリー,904101,洗剤,310200,仕上剤,310201,柔軟剤
3700039300,2,10,ダウニーダウニークリーンブリ,000041,トイレタリー,904101,洗剤,310200,仕上剤,310202,濃縮軟剤,10,ダウニーダウニークリーンブリ,000041,トイレタリー,904101,洗剤,310200,仕上剤,310201,柔軟剤
3700086740,2,10,ダウニーＩＦカシミアグロー,000041,トイレタリー,904101,洗剤,310200,仕上剤,310202,濃縮軟剤,10,ダウニーＩＦカシミアグロー,000041,トイレタリー,904101,洗剤,310200,仕上剤,310201,柔軟剤
3700090281,2,10,ダウニーＩＦボタニカルミスト,000041,トイレタリー,904101,洗剤,310200,仕上剤,310201,柔軟剤,10,ダウニーＩＦボタニカルミスト,000041,トイレタリー,904101,洗剤,310200,仕上剤,310202,濃縮軟剤
3700095274,2,10,ダウニーＩＦアンバーブロッサ,000041,トイレタリー,904101,洗剤,310200,仕上剤,310202,濃縮軟剤,10,ダウニーＩＦアンバーブロッサ,000041,トイレタリー,904101,洗剤,310200,仕上剤,310201,柔軟剤
3760136207151,2,13,クラレンドル　ルージュ　７５,000037,酒類,903705,ワイン,342700,輸入ワイン,342702,中容量,13,クラレンドル　ルージュ　７５,000037,酒類,903705,ワイン,342600,国産ワイン,342602,中容量７２０～７５０ｍｌ
390,2,3,ほうれん草,000390,婦人服,000000,,000000,,000000,,3,ほうれん草,000013,野菜,901303,葉茎,881200,葉物,881201,ほうれん草
4000799109485,2,13,マウントＨオーガニック２５本,000031,加工食品,903104,嗜好品,512700,インスタントコーヒー,512702,フリ－ズドライコーヒー,13,マウントＨオーガニック２５本,000031,加工食品,903104,嗜好品,512700,インスタントコーヒー,512704,カップ・ステックコーヒー
4004386826816,2,13,カリーノアニマルドーナツ１２,000028,菓子,902810,ギフト,814500,ギフト,814503,焼菓子,13,カリーノアニマルドーナツ１２,000028,菓子,902810,ギフト,814500,ギフト,814504,半生
4006387064761,2,13,ブリタカートリッジ３個,000042,台所,904203,行楽用品,503100,ステンレスボトル,503190,その他ボトル,13,ブリタカートリッジ３個,000042,台所,904206,流し用品,503200,浄水器,503205,ポット型浄水器カートリッジ
4006387072377,2,13,フィル＆ゴー　アクティブライ,000042,台所,904203,行楽用品,503100,ステンレスボトル,503190,その他ボトル,13,フィル＆ゴー　アクティブライ,000042,台所,904206,流し用品,503200,浄水器,503205,ポット型浄水器カートリッジ
4006387072414,2,13,ブリタフィル＆ゴーアクティブ,000042,台所,904203,行楽用品,503100,ステンレスボトル,503190,その他ボトル,13,ブリタフィル＆ゴーアクティブ,000042,台所,904206,流し用品,503200,浄水器,503205,ポット型浄水器カートリッジ
4028711000061,2,13,鶴屋八幡　ＩＳＦ－４,000028,菓子,902810,ギフト,814500,ギフト,814503,焼菓子,13,鶴屋八幡　ＩＳＦ－４,000028,菓子,902810,ギフト,814500,ギフト,814504,半生
4028711000078,2,13,鶴屋八幡　ＩＳＦ－１９７,000028,菓子,902810,ギフト,814500,ギフト,814503,焼菓子,13,鶴屋八幡　ＩＳＦ－１９７,000028,菓子,902810,ギフト,814500,ギフト,814504,半生
4028711000184,2,13,タベルナ・アイ　ＴＡＴＲ－２,000018,日配食品,901819,資材,832900,資材,832901,資材,13,タベルナ・アイ　ＴＡＴＲ－２,000018,日配食品,901810,冷凍食品,831600,ギフト,831601,ギフト（冷凍食品）
4028711000191,2,13,ビアードパパ　ＢＰＰ－００１,000018,日配食品,901819,資材,832900,資材,832901,資材,13,ビアードパパ　ＢＰＰ－００１,000018,日配食品,901810,冷凍食品,831600,ギフト,831601,ギフト（冷凍食品）
4028711000214,2,13,岩崎　大ＩＲＤＣ－Ｃ６Ｍ,000018,日配食品,901819,資材,832900,資材,832901,資材,13,岩崎　大ＩＲＤＣ－Ｃ６Ｍ,000018,日配食品,901812,市乳,832000,ギフト,832001,ギフト（市乳）
4028711000221,2,13,湊水産　石巻たらこ茶漬けスモ,000018,日配食品,901819,資材,832900,資材,832901,資材,13,湊水産　石巻たらこ茶漬けスモ,000018,日配食品,901804,漬物,830700,ギフト,830701,ギフト（漬物）
4210201181736,2,13,やわらか極細毛ブラシ２コ,000041,トイレタリー,904107,オーラル,311500,歯ブラシ,311590,その他歯ブラシ,13,やわらか極細毛ブラシ２コ,000041,トイレタリー,904107,オーラル,311500,歯ブラシ,311503,特殊ハブラシ
4210201185482,2,13,すみずみクリーンやわらか,000041,トイレタリー,904107,オーラル,311500,歯ブラシ,311590,その他歯ブラシ,13,すみずみクリーンやわらか,000041,トイレタリー,904107,オーラル,311500,歯ブラシ,311503,特殊ハブラシ
45076381,2,8,モルト　ロレッタＭミルクＮ,000047,化粧品,904703,ヘアケア,320300,女性頭髪,320306,ブロー・ミスト,8,モルト　ロレッタＭミルクＮ,000047,化粧品,904703,ヘアケア,320300,女性頭髪,320307,ワックス
45076398,2,8,モルト　ロレッタＭミルクＧ,000047,化粧品,904703,ヘアケア,320300,女性頭髪,320306,ブロー・ミスト,8,モルト　ロレッタＭミルクＧ,000047,化粧品,904703,ヘアケア,320300,女性頭髪,320307,ワックス
4511413302392,2,13,ＤＨＣ　Ｑ１０ミルク,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320205,エッセンス,13,ＤＨＣ　Ｑ１０ミルク,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320201,保湿タイプ
4511413306420,2,13,ＤＨＣ　薬用ＰＷＰＦ　ＮＯ０,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320210,ファンデーション,13,ＤＨＣ　薬用ＰＷＰＦ　ＮＯ０,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320202,美白タイプ
4511413307649,2,13,Ｑ１０クイックカラートリＤＢ,000047,化粧品,904703,ヘアケア,320400,毛染,320411,白髪用ヘアマニキュア,13,Ｑ１０クイックカラートリＤＢ,000047,化粧品,904703,ヘアケア,320400,毛染,320490,その他毛染
4511413308080,2,13,濃密うるみ肌　美白化粧水,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320201,保湿タイプ,13,濃密うるみ肌　美白化粧水,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320202,美白タイプ
4511413308332,2,13,オリーブすべすべミニセット,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320203,自然派タイプ,13,オリーブすべすべミニセット,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320290,その他基礎化粧品
4511413309339,2,13,濃密うるみ肌　薬用美白１ステ,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320201,保湿タイプ,13,濃密うるみ肌　薬用美白１ステ,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320202,美白タイプ
4511413309452,2,13,ＤＨＣ　スパコラマスク,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320201,保湿タイプ,13,ＤＨＣ　スパコラマスク,000047,化粧品,904702,基礎化粧品,320200,基礎化粧品,320213,マスク
4511413309483,2,13,ネイルケアオイル　Ｒ＆Ｊ,000047,化粧品,904701,メイクアップ,320100,メイクアップ,320190,その他メイクアップ,13,ネイルケアオイル　Ｒ＆Ｊ,000047,化粧品,904706,装飾品,321200,メイク小物,321204,ネイル小物
4511413401323,2,13,ＤＨＣ２０日ニュ－スリム８０,000147,化粧品（８％）,914705,季節品（８％）,360900,スキンケア（８％）,360906,ボディシェイプ,13,ＤＨＣ２０日ニュ－スリム８０,000173,ドラッグ（８％）,917305,健康食品（８％）,372500,栄養補助食品（８％）,372506,ＤＨＣ
4511413403143,2,13,フォースコリー　８０粒,000173,ドラッグ（８％）,917305,健康食品（８％）,372500,栄養補助食品（８％）,372506,ＤＨＣ,13,フォースコリー　８０粒,000147,化粧品（８％）,914705,季節品（８％）,360900,スキンケア（８％）,360906,ボディシェイプ
