category1_name,1,2,3,4,6,7,8,9,10,11,12,13,All
たまご,,1.0,4.0,,3.0,,9.0,,,,,115.0,132
インテリア,,1.0,,,1.0,,,,,,,2228.0,2230
カウンター,,1.0,,,1.0,,,,,,,2.0,4
カウンター（内）,,1.0,,,2.0,6.0,,,,,,42.0,51
カウンター（非）,,1.0,,,,1.0,,,,,,7.0,9
ケーキ,,1.0,,,,,,,,,,,1
スポーツ,,,,,,,,,,,,8.0,8
タバコ,,1.0,,,40.0,,184.0,,49.0,,,252.0,526
トイレタリー,,1.0,,,15.0,,28.0,,26.0,21.0,,6812.0,6903
トイレタリー（８％）,,,,,,,,,,,,24.0,24
ドラッグ,,1.0,,,2.0,1.0,57.0,,2.0,7.0,,5243.0,5313
ドラッグ（８％）,,,1.0,,1.0,,47.0,,,,,1698.0,1747
ナイティ,,,1.0,,,,,,,,,5064.0,5065
バッグ,,,1.0,1.0,,,,,,,,4811.0,4813
パン,,1.0,1.0,,17.0,8.0,11.0,,,,159.0,3406.0,3603
パン（１０％）,,,,,,,,,,,,11.0,11
ファンシー,,1.0,,,2.0,,,,,,,2055.0,2058
ファンシー（８％）,,,,,,,,,,,,6.0,6
ベビー・幼園児,,,2.0,1.0,,,,,,,,6724.0,6727
ベーカリー,,1.0,11.0,,17.0,194.0,,,,,1072.0,51.0,1346
ベーカリー（１０％）,,,,,,67.0,,,,,,,67
ペット用品,,1.0,,,3.0,,72.0,,84.0,8.0,,4004.0,4172
住居,,1.0,,,11.0,,3.0,,1.0,,,5932.0,5948
住居（８％）,,,,,,,,,,,,3.0,3
加工肉,,1.0,,,8.0,,6.0,,,,114.0,924.0,1053
加工食品,1.0,5.0,36.0,,70.0,,606.0,,84.0,25.0,,11429.0,12256
加工食品（１０％）,,,1.0,,,4.0,2.0,,,,,49.0,56
化粧品,,1.0,,,5.0,,139.0,,13.0,8.0,,13728.0,13894
化粧品（８％）,,,,,,,,,,,,88.0,88
台所,,1.0,,,25.0,,5.0,,4.0,1.0,,12120.0,12156
台所（８％）,,,,,,,,,,,,11.0,11
塩干,,1.0,8.0,,12.0,,4.0,,,,513.0,691.0,1229
塩干（１０％）,,,,,,,,,,,1.0,,1
女児,,,,,,,,,,,,3.0,3
女児・男児,,,,,,,,,,,,5407.0,5407
婦人ティーンズ,,,,1.0,,,,,,,,2363.0,2364
婦人ボトム,,,,2.0,,,,,,,,4677.0,4679
婦人服,,,1.0,,,,,,,,,7.0,8
婦人洋品,,,1.0,6.0,,,,,,,,14401.0,14408
婦人肌着,,,3.0,,,,,,,,,12683.0,12686
婦人ＬＳサイズ,,,1.0,2.0,,,,,,,,5528.0,5531
寝具,,1.0,,,6.0,,,,,,,3391.0,3398
幼園児,,,,,,,,,,,,5.0,5
惣菜,,1.0,36.0,,34.0,,,,,,2460.0,888.0,3419
惣菜（１０％）,,,,,,,,,,,3.0,,3
手芸,,1.0,,,1.0,,13.0,,,,,1461.0,1476
文具,,1.0,,,4.0,,9.0,,,,,12116.0,12130
日配食品,,1.0,,,56.0,2.0,340.0,,1.0,8.0,,6700.0,7108
日配食品（１０％）,,,1.0,,,,,,,,,,1
書籍,,1.0,,,4.0,47.0,,,,,,250.0,302
服飾雑貨,,,,3.0,,,,,,,,9781.0,9784
果実,,1.0,43.0,,23.0,,12.0,,2.0,,516.0,702.0,1299
果実（１０％）,,,,,4.0,,,,,,2.0,76.0,82
玩具,,1.0,,,3.0,,,3.0,26.0,13.0,,2852.0,2898
米,,1.0,1.0,,1.0,,,,,,6.0,249.0,258
精肉,,1.0,12.0,,37.0,,8.0,,,,4022.0,451.0,4531
精肉（１０％）,,,,,,,,,,,1.0,1.0,2
紳士ヤング,,,1.0,,,,,,,,,2648.0,2649
紳士子供肌着,,,1.0,,,,,,,,,6733.0,6734
紳士服,,,1.0,2.0,,,,,,,,4513.0,4516
紳士洋品,,,,4.0,,,,,,,,11046.0,11050
花,,1.0,1.0,,3.0,,,,,,8.0,406.0,419
菓子,,1.0,,,19.0,,206.0,,46.0,17.0,,4774.0,5063
菓子（１０％）,,,,,3.0,,6.0,,,,,399.0,408
酒類,,4.0,,,7.0,5.0,42.0,,53.0,29.0,,4722.0,4862
酒類（８％）,,,1.0,,,,,,,,,,1
野菜,,1.0,72.0,,49.0,2.0,22.0,,,2.0,1578.0,2099.0,3825
銘店コーナー,,1.0,1.0,,1.0,,,,,,,769.0,772
銘店コーナー（１０％）,,,1.0,,,,,,,,,38.0,39
靴,,,1.0,4.0,,,,,,,,11670.0,11675
靴下,,,2.0,,,,,,,,,8129.0,8131
鮮魚,,1.0,29.0,,35.0,,1.0,,,,2301.0,542.0,2909
鮮魚（１０％）,,,,,,,,,,,1.0,,1
All,1.0,42.0,276.0,26.0,525.0,337.0,1832.0,3.0,391.0,139.0,12757.0,230018.0,246347
